year,variable,ctag,vtag,scenario,units,type,latbox,error,error_min,error_max,valuemean,value,model
2005,fgco2,ocean,fgco2,rcp45,PgC/yr,Simulated,global,0.009831095,4.594013876,4.607917144,4.60096551,4.60096551,CMIP5
2005,fgco2,ocean,fgco2_HL,rcp45,PgC/yr,Simulated,HL,0.10114963,1.64770411,1.790751289,1.719227699,1.719227699,CMIP5
2005,fgco2,ocean,fgco2_LL,rcp45,PgC/yr,Simulated,LL,0.091317954,2.81716632,2.946309408,2.881737864,2.881737864,CMIP5
2006,fgco2,ocean,fgco2,rcp45,PgC/yr,Simulated,global,2.582597526,1.115717979,12.04839938,3.87086367,3.397751289,CMIP5
2006,fgco2,ocean,fgco2_HL,rcp45,PgC/yr,Simulated,HL,1.751954601,-0.443188241,7.324135065,1.148267923,0.786702869,CMIP5
2006,fgco2,ocean,fgco2_LL,rcp45,PgC/yr,Simulated,LL,1.694080543,1.225282434,7.804068456,2.761248131,2.173014321,CMIP5
2007,fgco2,ocean,fgco2,rcp45,PgC/yr,Simulated,global,2.801949455,1.257507216,13.25071174,3.950896517,3.528088508,CMIP5
2007,fgco2,ocean,fgco2_HL,rcp45,PgC/yr,Simulated,HL,1.812598991,-0.500753069,7.537547691,1.163668804,0.753399283,CMIP5
2007,fgco2,ocean,fgco2_LL,rcp45,PgC/yr,Simulated,LL,1.743857002,1.339022155,7.426429804,2.788139219,2.095850236,CMIP5
2008,fgco2,ocean,fgco2,rcp45,PgC/yr,Simulated,global,2.737206195,1.199104271,12.6908699,3.834057152,3.348832621,CMIP5
2008,fgco2,ocean,fgco2_HL,rcp45,PgC/yr,Simulated,HL,1.68844467,-0.652876592,7.00327163,1.121473726,0.762169488,CMIP5
2008,fgco2,ocean,fgco2_LL,rcp45,PgC/yr,Simulated,LL,1.829970912,1.300896964,7.967795279,2.789072062,1.987847619,CMIP5
2009,fgco2,ocean,fgco2,rcp45,PgC/yr,Simulated,global,5.903476705,-17.02022657,12.44681761,2.737511534,3.5992859,CMIP5
2009,fgco2,ocean,fgco2_HL,rcp45,PgC/yr,Simulated,HL,1.992795253,-2.542135443,7.45757811,1.012888014,0.783421783,CMIP5
2009,fgco2,ocean,fgco2_LL,rcp45,PgC/yr,Simulated,LL,1.831628311,1.130507854,8.299433506,2.81150239,2.128978319,CMIP5
2010,fgco2,ocean,fgco2,rcp45,PgC/yr,Simulated,global,3.393315033,1.371033736,13.42718712,4.652076939,3.997553856,CMIP5
2010,fgco2,ocean,fgco2_HL,rcp45,PgC/yr,Simulated,HL,1.820205107,-0.487676104,7.770068093,1.314008536,0.868929146,CMIP5
