"model","variable","ctag","vtag","scenario","year","type","units","latbox","value"
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2006,"Simulated","PgC/yr","global",12.048399375097
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2007,"Simulated","PgC/yr","global",13.2507117412993
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2008,"Simulated","PgC/yr","global",12.6908699037694
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2009,"Simulated","PgC/yr","global",12.4468176069609
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2010,"Simulated","PgC/yr","global",13.4271871221414
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2011,"Simulated","PgC/yr","global",14.207004499017
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2012,"Simulated","PgC/yr","global",14.5617929122913
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2013,"Simulated","PgC/yr","global",13.6434905597904
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2014,"Simulated","PgC/yr","global",13.2289912757709
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2015,"Simulated","PgC/yr","global",13.7128106835805
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2016,"Simulated","PgC/yr","global",14.4377034077027
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2017,"Simulated","PgC/yr","global",13.8723230035334
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2018,"Simulated","PgC/yr","global",13.6902546308308
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2019,"Simulated","PgC/yr","global",14.9611235669831
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2020,"Simulated","PgC/yr","global",15.1035063488994
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2021,"Simulated","PgC/yr","global",16.0655729823014
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2022,"Simulated","PgC/yr","global",14.0857387029693
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2023,"Simulated","PgC/yr","global",14.6063383551924
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2024,"Simulated","PgC/yr","global",14.8144363903579
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2025,"Simulated","PgC/yr","global",14.6288127701102
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2026,"Simulated","PgC/yr","global",14.2254322386561
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2027,"Simulated","PgC/yr","global",15.0360847048879
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2028,"Simulated","PgC/yr","global",15.1589912612839
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2029,"Simulated","PgC/yr","global",15.5542544310536
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2030,"Simulated","PgC/yr","global",15.2844253889873
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2031,"Simulated","PgC/yr","global",15.7264446260884
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2032,"Simulated","PgC/yr","global",15.4505183584934
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2033,"Simulated","PgC/yr","global",15.3297087738597
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2034,"Simulated","PgC/yr","global",16.1420724330792
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2035,"Simulated","PgC/yr","global",16.2275680527912
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2036,"Simulated","PgC/yr","global",16.8392595180705
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2037,"Simulated","PgC/yr","global",15.6035668830448
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2038,"Simulated","PgC/yr","global",15.2540833281065
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2039,"Simulated","PgC/yr","global",16.585541942254
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2040,"Simulated","PgC/yr","global",15.7584818725388
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2041,"Simulated","PgC/yr","global",15.2001463330457
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2042,"Simulated","PgC/yr","global",16.9021206486845
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2043,"Simulated","PgC/yr","global",17.8458379787958
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2044,"Simulated","PgC/yr","global",16.2546846189384
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2045,"Simulated","PgC/yr","global",16.1499320753332
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2046,"Simulated","PgC/yr","global",17.4195444291699
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2047,"Simulated","PgC/yr","global",16.5133004646729
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2048,"Simulated","PgC/yr","global",16.9817735608147
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2049,"Simulated","PgC/yr","global",17.3290865098678
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2050,"Simulated","PgC/yr","global",15.9250982846146
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2051,"Simulated","PgC/yr","global",16.0103954123431
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2052,"Simulated","PgC/yr","global",17.3039388561386
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2053,"Simulated","PgC/yr","global",17.1798173367139
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2054,"Simulated","PgC/yr","global",15.8607036433531
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2055,"Simulated","PgC/yr","global",16.2236942576273
"BNU-ESM","fgco2","ocean","fgco2","rcp45",2056,"Simulated","PgC/yr","global",17.0413051484779
