; RCP4.5 CO2 concentrations in pgC,
Date,NBP_constrain
2015,1.479078044
2016,1.947479488
2017,0.735588207
2018,0.79364205
2019,0.936203214
2020,0.477601026
2021,0.943270856
2022,1.385979374
2023,1.30527959
2024,0.882910568
2025,0.770025421
2026,1.401928793
2027,1.507095452
2028,1.407918368
2029,1.70764894
2030,0.25538466
2031,0.573102087
2032,1.229226752
2033,1.17834366
2034,1.827370554
2035,0.046706319
2036,1.372374141
2037,1.866267667
2038,1.523199186
2039,1.191973515
2040,1.059162971
2041,-0.249408378
2042,0.080579436
2043,1.856144008
2044,1.319215702
2045,1.88918223
2046,0.866629239
2047,0.658135503
2048,1.060595678
2049,0.483539916
2050,0.750115378
2051,0.596379298
2052,0.450612165
2053,1.009874539
2054,1.917085216
2055,0.923498965
2056,0.11283499
2057,-0.336972393
2058,0.905315605
2059,0.658947794
2060,1.000860244
2061,0.581470811
2062,0.773146957
2063,0.712966739
2064,0.411997679
2065,0.404571435
2066,0.264540323
2067,0.595223915
2068,0.637718017
2069,0.00695504
2070,-0.474207239
2071,0.88538401
2072,1.945964159
2073,0.789472278
2074,0.412444339
2075,0.168511782
2076,0.517525546
2077,-0.921126476
2078,-0.23258259
2079,0.701348062
2080,1.025327996
2081,0.654673876
2082,-0.258930252
2083,0.365335304
2084,-0.143859645
2085,-0.842484321
2086,-1.200575166
2087,0.049863716
2088,0.578275277
2089,0.408448155
2090,-0.225731595
2091,-0.301678674
2092,0.460016851
2093,1.22047903
2094,-0.470182804
2095,-0.73391823
2096,-0.883090024
2097,0.217589746
2098,-0.110951284
2099,-0.552322139
2100,-0.612933451
