; RCP2.6 land-atmosphere exchange in Pg C,
Date,NBP_constrain
1746,-9.751e-4
1747,-8.757e-4
1748,-7.799e-4
1749,-6.848e-4
1750,-5.938e-4
1751,-5.074e-4
1752,-3.808e-4
1753,-2.376e-4
1754,-9.083e-5
1755,5.508e-5
1756,1.983e-4
1757,3.382e-4
1758,4.741e-4
1759,6.056e-4
1760,7.321e-4
1761,8.537e-4
1762,9.706e-4
1763,0.001083
1764,0.001191
1765,0.001294
1766,-0.003945
1767,-0.01876
1768,-0.03827
1769,-0.04732
1770,-0.04892
1771,-0.05231
1772,-0.06098
1773,-0.07038
1774,-0.07815
1775,-0.08448
1776,-0.08974
1777,-0.09438
1778,-0.09858
1779,-0.1024
1780,-0.106
1781,-0.1094
1782,-0.1125
1783,-0.1136
1784,-0.10780000000000001
1785,-0.09985
1786,-0.1017
1787,-0.1107
1788,-0.1186
1789,-0.1237
1790,-0.1186
1791,-0.1048
1792,-0.1019
1793,-0.1122
1794,-0.123
1795,-0.1295
1796,-0.1319
1797,-0.134
1798,-0.138
1799,-0.1426
1800,-0.1461
1801,-0.1489
1802,-0.1513
1803,-0.1534
1804,-0.1553
1805,-0.1571
1806,-0.1588
1807,-0.1604
1808,-0.1619
1809,-0.1223
1810,-0.00784
1811,0.05918
1812,0.0605
1813,0.008974
1814,-0.03515
1815,-0.02206
1816,0.09155
1817,0.1964
1818,0.1725
1819,0.07173
1820,-0.02155
1821,-0.08483
1822,-0.1235
1823,-0.1484
1824,-0.166
1825,-0.179
1826,-0.1889
1827,-0.1965
1828,-0.2024
1829,-0.2066
1830,-0.2074
1831,-0.193
1832,-0.1574
1833,-0.1298
1834,-0.1358
1835,-0.1292
1836,-0.07805
1837,-0.04848
1838,-0.0754
1839,-0.1214
1840,-0.1577
1841,-0.1784
1842,-0.1902
1843,-0.1988
1844,-0.2032
1845,-0.2054
1846,-0.2093
1847,-0.2141
1848,-0.218
1849,-0.2205
1850,-0.2207
1851,-0.2064
1852,-0.2516
1853,-0.244
1854,-0.2365
1855,-0.2284
1856,-0.2188
