; RCP2.6 land-atmosphere exchange in Pg C,
1857,-0.1778
1858,-0.1334
1859,-0.1302
1860,-0.1522
1861,-0.1767
1862,-0.126
1863,-0.1202
1864,-0.1167
1865,-0.1198
1866,-0.1231
1867,-0.123
1868,-0.1212
1869,-0.1177
1870,-0.113
1871,-0.1268
1872,-0.2013
1873,-0.2024
1874,-0.198
1875,-0.1953
1876,-0.1938
1877,-0.1873
1878,-0.1826
1879,-0.1816
1880,-0.1812
1881,-0.2019
1882,-0.1494
1883,-0.1357
1884,-0.0502
1885,0.03559
1886,0.05941
1887,0.03805
1888,0.01998
1889,0.006787
1890,0.007089
1891,0.01447
1892,0.002252
1893,-0.009231
1894,-0.0403
1895,-0.05877
1896,-0.06589
1897,-0.059
1898,-0.04554
1899,-0.042659999999999997
1900,-0.04676
1901,-0.09832
1902,-0.093410000000000007
1903,-0.07696
1904,-0.03964
1905,-0.04068
1906,-0.0794
1907,-0.09315
1908,-0.09382
1909,-0.08953
1910,-0.08734
1911,-0.03674
1912,0.002028
1913,0.05217
1914,0.08731
1915,0.09836
1916,0.09016
1917,0.08528
1918,0.08487
1919,0.0838
1920,0.08585
1921,0.0602
1922,0.08039
1923,0.07658
1924,0.07668
1925,0.08419
1926,0.08885
1927,0.06055
1928,0.06781
1929,0.05862
1930,0.0054729999999999996
1931,0.01236
1932,0.1133
1933,0.1254
1934,0.1416
1935,0.1465
1936,0.1446
1937,0.1727
1938,0.179
1939,0.1904
1940,0.2106
1941,0.2342
1942,0.2227
1943,0.2375
1944,0.2425
1945,0.2486
1946,0.1785
1947,0.1537
1948,0.1588
1949,0.1643
1950,0.166
1951,-0.01671
1952,-0.01509
1953,0.01835
1954,-0.001796
1955,-0.01414
1956,-0.03979
1957,-0.03532
1958,-0.0495
1959,0.1011
1960,0.1462
1961,0.1324
1962,0.1847
1963,0.2208
1964,0.2953
1965,0.374
1966,0.3832
1967,0.3885
1968,0.4681
1969,0.5111
1970,0.602
1971,0.7532
1972,0.7908
1973,0.823
1974,0.847
1975,0.8963
1976,0.8786
1977,0.9006
1978,0.9222
1979,0.975
1980,1.046
1981,1.051
1982,0.933
1983,0.9835
1984,1.011
1985,1.013
1986,1.001
1987,1.001
1988,0.9968
1989,1.012
1990,1.04
1991,1.006
1992,1.183
1993,1.306
1994,1.336
1995,1.326
1996,1.332
1997,1.361
1998,1.368
1999,1.406
2000,1.445
2001,1.468
2002,1.38
2003,1.403
2004,1.408
2005,1.482
2006,1.545
2007,1.614
2008,1.684
2009,1.748
2010,1.808
2011,1.847
2012,1.881
2013,1.919
2014,1.938
2015,1.965
2016,1.99
2017,2.014
2018,2.035
2019,2.052
2020,2.068
2021,2.094
2022,2.118
2023,2.138
2024,2.153
2025,2.164
2026,2.172
2027,2.175
2028,2.175
2029,2.172
2030,2.165
2031,2.166
2032,2.164
2033,2.157
2034,2.154
2035,2.139
2036,2.12
2037,2.097
2038,2.071
2039,2.041
2040,2.008
2041,1.972
2042,1.936
2043,1.9
2044,1.864
2045,1.829
2046,1.793
2047,1.757
2048,1.72
2049,1.683
2050,1.646
2051,1.539
2052,1.433
2053,1.329
2054,1.236
2055,1.135
2056,1.035
2057,0.9351
2058,0.8365
2059,0.7385
2060,0.6407
2061,0.5929
2062,0.5457
2063,0.4987
2064,0.4518
2065,0.4048
2066,0.3578
2067,0.3108
2068,0.264
2069,0.2172
2070,0.1704
2071,0.1148
2072,0.06001
2073,0.00678
2074,-0.04512
2075,-0.09576
2076,-0.1452
2077,-0.1935
2078,-0.2406
2079,-0.2867
2080,-0.3318
2081,-0.3799
2082,-0.4268
2083,-0.4724
2084,-0.5167
2085,-0.56
2086,-0.6032
2087,-0.6471
2088,-0.6906
2089,-0.7327
2090,-0.7735
2091,-0.7986
2092,-0.8224
2093,-0.845
2094,-0.8665
2095,-0.8867
2096,-0.9057
2097,-0.9233
2098,-0.9398
2099,-0.9555
2100,-0.9704
2101,-0.9732
2102,-0.9752
2103,-0.9765
2104,-0.9774
2105,-0.9783
2106,-0.9797
2107,-0.981
2108,-0.9818
2109,-0.9819
2110,-0.9816
2111,-0.9808
2112,-0.9796
2113,-0.978
2114,-0.9761
2115,-0.9741
2116,-0.9722
2117,-0.97
2118,-0.9674
2119,-0.9645
2120,-0.9612
2121,-0.9577
2122,-0.9539
2123,-0.95
2124,-0.9461
2125,-0.9419
2126,-0.958
2127,-0.9735
2128,-0.9881
2129,-1.002
2130,-1.015
2131,-1.027
2132,-1.039
2133,-1.05
2134,-1.06
2135,-1.07
2136,-1.079
2137,-1.088
2138,-1.096
2139,-1.103
2140,-1.11
2141,-1.117
2142,-1.123
2143,-1.128
2144,-1.133
2145,-1.138
2146,-1.142
2147,-1.146
2148,-1.15
2149,-1.153
2150,-1.156
2151,-1.158
2152,-1.161
2153,-1.163
2154,-1.164
2155,-1.166
2156,-1.167
2157,-1.168
2158,-1.169
2159,-1.169
2160,-1.169
2161,-1.169
2162,-1.169
2163,-1.169
2164,-1.169
2165,-1.168
2166,-1.169
2167,-1.17
2168,-1.171
2169,-1.172
2170,-1.172
2171,-1.172
2172,-1.172
2173,-1.172
2174,-1.171
2175,-1.17
2176,-1.168
2177,-1.166
2178,-1.163
2179,-1.161
2180,-1.158
2181,-1.155
2182,-1.151
2183,-1.147
2184,-1.142
2185,-1.138
2186,-1.135
2187,-1.132
2188,-1.128
2189,-1.123
2190,-1.118
2191,-1.113
2192,-1.107
2193,-1.1
2194,-1.095
2195,-1.09
2196,-1.086
2197,-1.081
2198,-1.075
2199,-1.069
2200,-1.062
2201,-1.054
2202,-1.046
2203,-1.037
2204,-1.029
2205,-1.02
2206,-1.011
2207,-1.001
2208,-0.9922
2209,-0.9831
2210,-0.974
2211,-0.965
2212,-0.956
2213,-0.947
2214,-0.9379
2215,-0.9288
2216,-0.9196
2217,-0.9103
2218,-0.901
2219,-0.8916
2220,-0.8821
2221,-0.8726
2222,-0.863
2223,-0.8534
2224,-0.8441
2225,-0.835
2226,-0.8262
2227,-0.8176
2228,-0.8093
2229,-0.8012
2230,-0.7933
2231,-0.7856
2232,-0.7782
2233,-0.7709
2234,-0.7639
2235,-0.757
2236,-0.7503
2237,-0.7437
2238,-0.7373
2239,-0.7311
2240,-0.7251
2241,-0.7191
2242,-0.7133
2243,-0.7077
2244,-0.7022
2245,-0.6968
2246,-0.6915
2247,-0.6863
2248,-0.6813
2249,-0.6763
2250,-0.6715
2251,-0.6667
2252,-0.6621
2253,-0.6575
2254,-0.6531
2255,-0.6487
2256,-0.6444
2257,-0.6402
2258,-0.636
2259,-0.6319
2260,-0.6279
2261,-0.624
2262,-0.6201
2263,-0.6163
2264,-0.6126
2265,-0.6089
2266,-0.6053
2267,-0.6017
2268,-0.5982
2269,-0.5948
2270,-0.5914
2271,-0.588
2272,-0.5847
2273,-0.5814
2274,-0.5782
2275,-0.575
2276,-0.5719
2277,-0.5688
2278,-0.5658
2279,-0.5627
2280,-0.5598
2281,-0.5568
2282,-0.5539
2283,-0.551
2284,-0.5482
2285,-0.5454
2286,-0.5426
2287,-0.5399
2288,-0.5371
2289,-0.5344
2290,-0.5318
2291,-0.5292
2292,-0.5265
2293,-0.524
2294,-0.5214
2295,-0.5189
2296,-0.5164
2297,-0.5139
2298,-0.5114
2299,-0.509
2300,-0.5066
