; RCP4.5 CO2 concentrations in pgC,
Date,NBP_constrain
2015,3.642922894
2016,4.059336464
2017,3.059019597
2018,3.507142964
2019,3.595667634
2020,3.262172307
2021,3.846586515
2022,4.205525693
2023,4.002009166
2024,3.313872353
2025,3.71046472
2026,3.718103363
2027,4.059126771
2028,4.201790882
2029,4.419842806
2030,3.337540012
2031,3.126963244
2032,4.281866319
2033,3.841723429
2034,4.886874039
2035,2.981120993
2036,4.624042224
2037,4.793082461
2038,4.42833996
2039,4.105570015
2040,4.272095365
2041,3.113588045
2042,3.321263257
2043,4.350173877
2044,4.089968581
2045,4.446098573
2046,4.116307246
2047,3.801000691
2048,3.800436296
2049,3.725812985
2050,3.453961161
2051,3.92847526
2052,3.901316567
2053,3.500841813
2054,4.277806484
2055,3.961914415
2056,2.609717125
2057,2.526549708
2058,3.712475856
2059,2.889056534
2060,3.735359719
2061,3.063410957
2062,3.271573089
2063,3.586928704
2064,2.977272044
2065,3.328229502
2066,2.611453057
2067,3.255169087
2068,3.057236894
2069,2.866341077
2070,2.240622981
2071,3.27936217
2072,4.699375994
2073,3.589224599
2074,2.752139541
2075,3.085445565
2076,3.23185607
2077,1.734709563
2078,2.354841987
2079,2.587113066
2080,3.431916427
2081,3.278473558
2082,2.089225975
2083,2.975750827
2084,1.981728524
2085,1.620096057
2086,1.350294169
2087,2.631408147
2088,2.851423922
2089,2.681109349
2090,2.46589737
2091,2.191599738
2092,2.704502088
2093,2.890212311
2094,1.59004421
2095,1.773660463
2096,1.328820683
2097,1.974852388
2098,1.807277511
2099,1.833792799
2100,1.074046861
