year,variable,ctag,vtag,scenario,units,type,latbox,error,error_min,error_max,meanvalue,value,nmodels,model
2005,nbp,carbon_cycle,nbp,rcp85,PgC/yr,Simulated,global,NA,1.205921788,1.205921788,1.205921788,1.205921788,1,CMIP5
2005,nbp,carbon_cycle,nbp_HL,rcp85,PgC/yr,Simulated,HL,NA,-2.365464876,-2.365464876,-2.365464876,-2.365464876,1,CMIP5
2005,nbp,carbon_cycle,nbp_LL,rcp85,PgC/yr,Simulated,LL,NA,4.147722907,4.147722907,4.147722907,4.147722907,1,CMIP5
2006,nbp,carbon_cycle,nbp,rcp85,PgC/yr,Simulated,global,4.149755896,-0.213744474,9.874011957,4.252608949,3.100964614,1,CMIP5
2006,nbp,carbon_cycle,nbp_HL,rcp85,PgC/yr,Simulated,HL,0.563336209,0.091677259,1.724607349,0.750869081,0.892610356,1,CMIP5
2006,nbp,carbon_cycle,nbp_LL,rcp85,PgC/yr,Simulated,LL,3.699850218,-0.61792151,8.770818314,3.532110453,2.501559587,1,CMIP5
2007,nbp,carbon_cycle,nbp,rcp85,PgC/yr,Simulated,global,5.771107464,-2.090161254,12.42799491,4.191526067,3.480646354,1,CMIP5
2007,nbp,carbon_cycle,nbp_HL,rcp85,PgC/yr,Simulated,HL,0.629784045,0.072793297,1.67152606,0.840874009,0.831230429,1,CMIP5
2007,nbp,carbon_cycle,nbp_LL,rcp85,PgC/yr,Simulated,LL,5.241362421,-2.843474627,10.73368117,3.321563782,2.406545651,1,CMIP5
2008,nbp,carbon_cycle,nbp,rcp85,PgC/yr,Simulated,global,7.245363177,-5.534184339,18.66922716,3.012322743,1.771076421,1,CMIP5
2008,nbp,carbon_cycle,nbp_HL,rcp85,PgC/yr,Simulated,HL,0.809939906,-0.323054121,1.78738083,0.858051082,0.863820969,1,CMIP5
2008,nbp,carbon_cycle,nbp_LL,rcp85,PgC/yr,Simulated,LL,6.673141565,-6.528543319,16.12665771,2.134286317,1.210639915,1,CMIP5
2009,nbp,carbon_cycle,nbp,rcp85,PgC/yr,Simulated,global,3.547422763,-2.169902324,8.670113918,3.681250285,4.452114184,1,CMIP5
2009,nbp,carbon_cycle,nbp_HL,rcp85,PgC/yr,Simulated,HL,0.596543135,0.067533191,1.91207936,0.864019939,0.925607455,1,CMIP5
2009,nbp,carbon_cycle,nbp_LL,rcp85,PgC/yr,Simulated,LL,3.153645258,-2.237436599,7.410867135,2.789138183,3.035447836,1,CMIP5
2010,nbp,carbon_cycle,nbp,rcp85,PgC/yr,Simulated,global,6.568297778,-3.42848962,15.5201799,4.602184203,4.384674435,1,CMIP5
2010,nbp,carbon_cycle,nbp_HL,rcp85,PgC/yr,Simulated,HL,0.574178989,0.000705122,1.79356402,0.798365698,0.639347209,1,CMIP5
2010,nbp,carbon_cycle,nbp_LL,rcp85,PgC/yr,Simulated,LL,6.275499264,-3.429194402,14.47019477,3.756921931,2.91192175,1,CMIP5
2011,nbp,carbon_cycle,nbp,rcp85,PgC/yr,Simulated,global,7.279265956,-2.839762118,18.85828603,6.919116322,5.622704708,1,CMIP5
2011,nbp,carbon_cycle,nbp_HL,rcp85,PgC/yr,Simulated,HL,0.707241087,0.0426184,1.963932318,0.873704929,0.852002587,1,CMIP5
