"model","variable","ctag","vtag","scenario","year","type","units","latbox","value"
"bcc-csm1-1","tas","temperature","tgav","rcp45",2006,"Simulated","C","global",14.9269
"bcc-csm1-1","tas","temperature","tgav","rcp45",2007,"Simulated","C","global",15.0701
"bcc-csm1-1","tas","temperature","tgav","rcp45",2008,"Simulated","C","global",15.168
"bcc-csm1-1","tas","temperature","tgav","rcp45",2009,"Simulated","C","global",15.1318
"bcc-csm1-1","tas","temperature","tgav","rcp45",2010,"Simulated","C","global",15.0487
"bcc-csm1-1","tas","temperature","tgav","rcp45",2011,"Simulated","C","global",15.0641
"bcc-csm1-1","tas","temperature","tgav","rcp45",2012,"Simulated","C","global",15.0067
"bcc-csm1-1","tas","temperature","tgav","rcp45",2013,"Simulated","C","global",14.9724000000001
"bcc-csm1-1","tas","temperature","tgav","rcp45",2014,"Simulated","C","global",15.1596
"bcc-csm1-1","tas","temperature","tgav","rcp45",2015,"Simulated","C","global",15.092
"bcc-csm1-1","tas","temperature","tgav","rcp45",2016,"Simulated","C","global",15.0893
"bcc-csm1-1","tas","temperature","tgav","rcp45",2017,"Simulated","C","global",15.2169
"bcc-csm1-1","tas","temperature","tgav","rcp45",2018,"Simulated","C","global",15.2417
"bcc-csm1-1","tas","temperature","tgav","rcp45",2019,"Simulated","C","global",15.0737
"bcc-csm1-1","tas","temperature","tgav","rcp45",2020,"Simulated","C","global",15.2341
"bcc-csm1-1","tas","temperature","tgav","rcp45",2021,"Simulated","C","global",15.3302
"bcc-csm1-1","tas","temperature","tgav","rcp45",2022,"Simulated","C","global",15.382
"bcc-csm1-1","tas","temperature","tgav","rcp45",2023,"Simulated","C","global",15.3619
"bcc-csm1-1","tas","temperature","tgav","rcp45",2024,"Simulated","C","global",15.2833
"bcc-csm1-1","tas","temperature","tgav","rcp45",2025,"Simulated","C","global",15.4215
"bcc-csm1-1","tas","temperature","tgav","rcp45",2026,"Simulated","C","global",15.5628
"bcc-csm1-1","tas","temperature","tgav","rcp45",2027,"Simulated","C","global",15.4605
"bcc-csm1-1","tas","temperature","tgav","rcp45",2028,"Simulated","C","global",15.4405
"bcc-csm1-1","tas","temperature","tgav","rcp45",2029,"Simulated","C","global",15.5152
"bcc-csm1-1","tas","temperature","tgav","rcp45",2030,"Simulated","C","global",15.4992
"bcc-csm1-1","tas","temperature","tgav","rcp45",2031,"Simulated","C","global",15.5879
"bcc-csm1-1","tas","temperature","tgav","rcp45",2032,"Simulated","C","global",15.5794
"bcc-csm1-1","tas","temperature","tgav","rcp45",2033,"Simulated","C","global",15.5281
"bcc-csm1-1","tas","temperature","tgav","rcp45",2034,"Simulated","C","global",15.6354
"bcc-csm1-1","tas","temperature","tgav","rcp45",2035,"Simulated","C","global",15.5993
"bcc-csm1-1","tas","temperature","tgav","rcp45",2036,"Simulated","C","global",15.6623
"bcc-csm1-1","tas","temperature","tgav","rcp45",2037,"Simulated","C","global",15.6522000000001
