"# All values in PgC/yr, for the globe. For values in billion tonnes of CO2, multiply the numbers below by 3.67.",,,,,,
# Global Carbon Project (GCP) www.tyndall.ac.uk/global-carbon-budget-2010,,,,,,
# LeQuere et al. 2009,,,,,,
,,,,,,
year,value,ctag,vtag,type,units,scenario
1959.5,2,carbon_cycle,atmos_CO2,Observed,PgC/yr,historical
1960.5,1.15,,,,,
1961.5,2.02,,,,,
1962.5,1.36,,,,,
1963.5,1.51,,,,,
1964.5,0.59,,,,,
1965.5,2.17,,,,,
1966.5,2.63,,,,,
1967.5,1.57,,,,,
1968.5,2.19,,,,,
1969.5,2.78,,,,,
1970.5,2.25,,,,,
1971.5,1.8,,,,,
1972.5,3.59,,,,,
1973.5,2.57,,,,,
1974.5,1.66,,,,,
1975.5,2.4,,,,,
1976.5,1.78,,,,,
1977.5,4.46,,,,,
1978.5,2.76,,,,,
1979.5,3.72,,,,,
1980.5,3.74,,,,,
1981.5,2.34,,,,,
1982.5,2.21,,,,,
1983.5,3.89,,,,,
1984.5,2.48,,,,,
1985.5,3.69,,,,,
1986.5,2.23,,,,,
1987.5,5.71,,,,,
1988.5,4.73,,,,,
1989.5,2.87,,,,,
1990.5,2.59,,,,,
1991.5,1.49,,,,,
1992.5,1.46,,,,,
1993.5,2.65,,,,,
1994.5,3.57,,,,,
1995.5,4.14,,,,,
1996.5,2.27,,,,,
1997.5,4.18,,,,,
1998.5,6.03,,,,,
1999.5,2.82,,,,,
2000.5,2.63,,,,,
2001.5,3.91,,,,,
2002.5,5.12,,,,,
2003.5,4.67,,,,,
2004.5,3.35,,,,,
2005.5,5.12,,,,,
2006.5,3.8,,,,,
2007.5,4.5,,,,,
2008.5,3.84,,,,,
2009.5,3.46,,,,,
2010.5,5.01,,,,,
