# All values in PgC/yr for the globe. For values in billion tonnes of CO2 multiply the numbers below by 3.67.,,,,,,,
# Global Carbon Project (GCP) www.tyndall.ac.uk/global-carbon-budget-2010 http://www.globalcarbonproject.org/carbonbudget,,,,,,,
# LeQuere et al. 2009,,,,,,,
#updated from 2009 to 2012 reference on 6/18/14,,,,,,,
year,value,ctag,vtag,type,units,model,scenario
1959,0.84,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1960,1.51,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1961,1.52,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1962,2.09,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1963,2.06,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1964,2.12,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1965,0.84,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1966,1.02,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1967,2.41,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1968,1.78,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1969,1.21,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1970,1.94,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1971,2.7,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1972,0.98,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1973,1.27,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1974,3.02,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1975,1.71,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1976,2.52,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1977,0.6,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1978,1.93,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1979,0.67,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1980,1.07,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1981,2.15,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1982,2.38,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1983,0.59,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1984,2.14,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1985,1.55,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1986,3.02,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1987,-0.41,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1988,0.8,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1989,2.91,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1990,3.08,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1991,4.04,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1992,4.03,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1993,2.8,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1994,2,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1995,1.71,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1996,3.68,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1997,2.5,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1998,-0.15,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
1999,2.84,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
2000,3.17,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
2001,2.08,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
2002,0.59,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
2003,1.2,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
2004,3.1,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
2005,1.65,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
2006,3.37,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
2007,2.59,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
2008,3.3,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
2009,3.34,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
2010,2.65,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
2011,4.1,carbon_cycle,nbp,Observed,PgC/yr,GCP,historical
