# MAGICC global temperature,,,,,,,
# RCP 8.5,,,,,,,
Year,value,vtag,ctag,units,type,Scenario,model
1765,0.00E+00,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1766,-6.73E-04,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1767,8.00E-03,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1768,1.73E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1769,1.36E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1770,-4.08E-03,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1771,-2.61E-03,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1772,6.34E-03,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1773,9.33E-03,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1774,1.08E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1775,1.05E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1776,1.31E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1777,1.93E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1778,2.65E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1779,2.98E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1780,3.15E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1781,3.14E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1782,2.81E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1783,1.72E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1784,-1.51E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1785,-3.51E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1786,-9.93E-03,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1787,1.06E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1788,2.30E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1789,2.75E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1790,8.08E-03,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1791,-2.94E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1792,-2.13E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1793,-6.26E-03,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1794,2.71E-03,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1795,4.93E-03,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1796,1.57E-03,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1797,1.06E-03,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1798,4.51E-03,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1799,8.47E-03,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1800,1.42E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1801,1.99E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1802,2.07E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1803,2.06E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1804,2.15E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1805,2.18E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1806,2.05E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1807,1.92E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1808,1.84E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1809,-9.67E-02,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1810,-3.91E-01,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1811,-4.91E-01,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1812,-3.54E-01,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1813,-2.66E-01,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1814,-2.17E-01,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1815,-3.18E-01,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1816,-6.83E-01,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1817,-7.92E-01,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1818,-5.83E-01,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1819,-4.14E-01,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
1820,-2.95E-01,Tgav,Temperature,C,Simulated,rcp85,MAGICC6
