# Atmospheric CO2 record,,,,,,,,,,,,,,,,,,,,
# Observed data set for Hector backend,,,,,,,,,,,,,,,,,,,,
# from http://cdiac.ornl.gov/ftp/trends/co2/maunaloa.co2,,,,,,,,,,,,,,,,,,,,
# Changes from original: added vtag, vtag, type, value and units,,,,,,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average,value,ctag,vtag,units,type,scenario,model
1958,,,315.7,317.45,317.5,317.26,315.86,314.93,313.2,312.44,313.33,314.67,,,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1959,315.62,316.38,316.71,317.72,318.29,318.16,316.54,314.8,313.84,313.26,314.8,315.58,315.98,315.98,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1960,316.43,316.97,317.58,319.02,320.03,319.59,318.18,315.91,314.16,313.84,315,316.19,316.91,316.91,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1961,316.93,317.7,318.54,319.48,320.58,319.77,318.57,316.79,314.8,315.38,316.1,317.01,317.64,317.64,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1962,317.94,318.56,319.68,320.63,321.01,320.55,319.58,317.4,316.25,315.42,316.69,317.7,318.45,318.45,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1963,318.74,319.08,319.86,321.39,322.24,321.47,319.74,317.77,316.21,315.99,317.12,318.31,318.99,318.99,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1964,319.57,,,,322.24,321.89,320.44,318.7,316.7,316.79,317.79,318.71,,,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1965,319.44,320.44,320.89,322.13,322.16,321.87,321.39,318.8,317.81,317.3,318.87,319.42,320.04,320.04,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1966,320.62,321.59,322.39,323.87,324.01,323.75,322.39,320.37,318.64,318.1,319.79,321.08,321.38,321.38,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
1967,322.06,322.5,323.04,324.42,325,324.09,322.55,320.92,319.31,319.31,320.72,321.96,322.16,322.16,carbon_cycle,atmos_CO2,ppmv CO2,Observed,historical,MaunaLoa
