# Historical CO2 record derived from a spline fit (75 year cutoff) of the Law Dome ,,,,,,,
# from http://cdiac.ornl.gov/ftp/trends/co2/lawdome.smoothed.yr75,,,,,,,
Year,value,vtag,units,type,ctag,scenario,model
1010,279.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1015,279.6,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1020,279.7,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1025,279.8,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1030,279.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1035,280,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1040,280.2,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1045,280.3,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1050,280.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1055,280.7,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1060,280.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1065,281.1,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1070,281.3,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1075,281.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1080,281.7,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1085,281.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1090,282.1,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1095,282.3,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1100,282.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1105,282.7,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1110,282.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1115,283,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1120,283.2,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1125,283.3,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1130,283.5,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1135,283.6,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1140,283.7,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1145,283.8,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1150,283.9,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1155,284,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1160,284,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1165,284.1,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
1170,284.1,atmos_CO2,ppmv CO2,Observed,carbon_cycle,historical,Law Dome
