year,co2,nonco2,aerosol.direct,aerosol.indirect,solar,volcanic,other,total
1765,0,0,0,0,-0.02835875,0,0,-0.02835875
1766,0.011049082,0.004314432,1.78E-05,-0.000801451,-0.02069375,0.11622211,0.015918359,0.12602655
1767,0.023246047,0.008877103,-6.47E-06,-0.00238112,0.007039375,0.23244422,0.003812313,0.27303147
1768,0.025605215,0.009366935,-0.000120356,-0.003914936,0.046256875,0.19744422,0.004232686,0.27887064
1769,0.028057033,0.00984243,-0.00028157,-0.005404098,0.073605,0.13181922,0.004407225,0.24204524
1770,0.03055287,0.010303014,-0.000470954,-0.006849764,0.077258125,0.12744422,0.004586879,0.24282439
1771,0.033093627,0.010751385,-0.000888303,-0.008446667,0.064894375,0.17994422,0.004793632,0.28414227
1772,0.035705793,0.011190869,-0.00132732,-0.010001348,0.04433625,0.21494422,0.005008626,0.29985709
1773,0.038397133,0.01162232,-0.001571179,-0.01132127,0.020348125,0.22806922,0.005211501,0.29075585
1774,0.041160901,0.012045243,-0.001814906,-0.012602014,0.00144375,0.23244422,0.005422345,0.27809954
1775,0.044009648,0.012459081,-0.002056869,-0.013844557,-0.009813125,0.23244422,0.005640652,0.26883905
1776,0.046979223,0.012863113,-0.002295893,-0.015049844,-0.003950625,0.23244422,0.005865866,0.27685606
1777,0.050067292,0.013256576,-0.002531115,-0.016218795,0.022645,0.23244422,0.006097482,0.30576066
1778,0.053202569,0.013638884,-0.002761901,-0.017352301,0.05236875,0.23244422,0.006334969,0.33787519
1779,0.05628708,0.014009567,-0.002987779,-0.018451227,0.05970125,0.23244422,0.006577799,0.34758091
1780,0.059234532,0.014366637,-0.003208404,-0.019516415,0.05152875,0.23244422,0.00682464,0.34167396
1781,0.06201229,0.014706055,-0.003695298,-0.020734191,0.041895,0.23244422,0.007093744,0.33372182
1782,0.064664134,0.015026378,-0.004179171,-0.021919206,0.019495,0.21056922,0.007363585,0.29101994
1783,0.067271913,0.015331384,-0.004387799,-0.02288675,-0.006033125,0.11869422,0.007615477,0.17560532
1784,0.069921132,0.015626956,-0.004589929,-0.023823746,-0.0190575,0.044319219,0.007873062,0.090269194
1785,0.072693308,0.015918925,-0.004785585,-0.02473093,-0.00597625,0.10119422,0.008139372,0.16245306
1786,0.075631696,0.01621293,-0.004974809,-0.025609019,0.031189375,0.18869422,0.008417427,0.28956182
1787,0.078703283,0.016514514,-0.005157658,-0.026458714,0.056993125,0.22369422,0.00871024,0.35299901
1788,0.081821836,0.016829376,-0.005334205,-0.027280699,0.0586425,0.22806922,0.009020822,0.36176885
1789,0.084889902,0.017163338,-0.005504529,-0.028075643,0.050159375,0.12306922,0.009352177,0.25105384
1790,0.087836927,0.017521083,-0.00566872,-0.028844201,0.03401125,-0.025680781,0.009706685,0.088882243
1791,0.090660982,0.017903698,-0.006114288,-0.02976689,0.015911875,0.009319219,0.010105434,0.10802003
1792,0.09339792,0.01830912,-0.006554516,-0.030664026,0.007214375,0.14056922,0.010526557,0.23279865
1793,0.096060423,0.018735197,-0.006701984,-0.031356362,0.000695625,0.20619422,0.010948061,0.29457518
1794,0.098642066,0.019180394,-0.006843508,-0.03202483,-0.013549375,0.21494422,0.011389483,0.29173845
1795,0.1011408,0.01964318,-0.006979222,-0.032670018,-0.0292075,0.19306922,0.01184971,0.25684617
1796,0.10356312,0.02012184,-0.007109261,-0.033292506,-0.0392525,0.18869422,0.012327657,0.24505257
1797,0.10591503,0.02061459,-0.007523094,-0.03407017,-0.046291875,0.21056922,0.012842869,0.26205657
1798,0.10819345,0.02111978,-0.007931511,-0.034825924,-0.05053125,0.22806922,0.013373645,0.27746741
1799,0.11039084,0.02163591,-0.008045235,-0.035383025,-0.04930625,0.23244422,0.01389824,0.2856347
1800,0.11250486,0.02216446,-0.008442733,-0.036095795,-0.03357375,0.23244422,0.014458568,0.30345983
1801,0.11454316,0.02271248,-0.008834857,-0.036788347,-0.0133,0.23244422,0.015037744,0.3258144
1802,0.11651278,0.02328571,-0.009509641,-0.037635553,-0.017819375,0.23244422,0.015659479,0.32293762
1803,0.1184099,0.0238829,-0.009890574,-0.038288507,-0.034545,0.23244422,0.016281661,0.3082946
1804,0.12022542,0.02449959,-0.009689239,-0.038572395,-0.039536875,0.23244422,0.016881019,0.30625174
1805,0.1219681,0.02513135,-0.009771625,-0.039013583,-0.04272625,0.23244422,0.017516728,0.30554894
1806,0.1236704,0.02577366,-0.010136037,-0.03961156,-0.053764375,0.23244422,0.018186162,0.29656247
1807,0.12533497,0.02642202,-0.010495373,-0.040192471,-0.065043125,0.23244422,0.018866029,0.28733627
1808,0.12690511,0.02707192,-0.010563078,-0.040582688,-0.0714175,-0.25755578,0.019533086,-0.20660893
1809,0.12830042,0.02771893,-0.010626516,-0.040957042,-0.07532875,-1.3994308,0.020205358,-1.3501184
1810,0.12946317,0.02836089,-0.010685842,-0.041316001,-0.0767375,-1.8019308,0.020881483,-1.7519646
1811,0.1304044,0.02900087,-0.011024358,-0.041832938,-0.074204375,-1.0100558,0.021583641,-0.95612856
1812,0.13119381,0.02964356,-0.011358229,-0.042335236,-0.067939375,-0.34068078,0.02229366,-0.27918259
1813,0.13190268,0.03029043,-0.011404417,-0.042650453,-0.06085625,-0.14818078,0.022991648,-0.077907142
1814,0.13259134,0.03094103,-0.01144702,-0.042952127,-0.054236875,-0.67755578,0.023697792,-0.59896164
1815,0.13331508,0.03159488,-0.01176572,-0.043412781,-0.044174375,-2.1519308,0.024432316,-2.0619414
1816,0.13409903,0.03225155,-0.012358657,-0.044032383,-0.0345275,-2.6638058,0.02519496,-2.5631788
1817,0.13491805,0.0329106,-0.01294433,-0.044638854,-0.034759375,-1.4956808,0.025964509,-1.3942302
1818,0.13571684,0.03357157,-0.013246262,-0.045061591,-0.0407925,-0.36255578,0.026720003,-0.26564772
1819,0.13643515,0.03423393,-0.013266616,-0.045301498,-0.046659375,0.092444219,0.02746116,0.18534697
