year,co2,nonco2.land,nonco2.ocean,aerosol.land,aerosol.ocean,solar.land,solar.ocean,volc.land,volc.ocean,tot.land,tot.ocean
1750,0,0,0,0,0,0.0447,0.0527,0,0,0.0447,0.0527
1751,0,0,0.00E+00,-0.000560776,-0.000469878,0.0056,0.0066,0,0,0.005039224,0.006130122
1752,0,0,0.00E+00,-0.001121553,-0.000939757,-0.0083,-0.0098,0,0,-0.009421553,-0.010739757
1753,0,0,0,-0.001682329,-0.001409635,-0.027,-0.0318,0,0,-0.028682329,-0.033209635
1754,0,0,0,-0.002243105,-0.001879514,-0.0501,-0.0589,0,0,-0.052343105,-0.060779514
1755,0,0,0,-0.002803882,-0.002349392,-0.0624,-0.0735,0,0,-0.065203882,-0.075849392
1756,0,0,0,-0.003364658,-0.002819271,-0.0666,-0.0784,0,0,-0.069964658,-0.081219271
1757,0,0,0,-0.003925434,-0.003289149,-0.0539,-0.0634,0,0,-0.057825434,-0.066689149
1758,0,0,0,-0.004486211,-0.003759027,-0.0397,-0.0468,0,0,-0.044186211,-0.050559027
1759,0,0,0,-0.005046987,-0.004228906,-0.0282,-0.0332,0,0,-0.033246987,-0.037428906
1760,0,0,0,-0.005607763,-0.004698784,-0.038,-0.0447,0,0,-0.043607763,-0.049398784
1761,0,0,0,-0.00616854,-0.005168663,-0.0223,-0.0263,0,0,-0.02846854,-0.031468663
1762,0,0,0,-0.006729316,-0.005638541,-0.0348,-0.0409,0,0,-0.041529316,-0.046538541
1763,0,0,0,-0.007290092,-0.00610842,-0.0462,-0.0544,0,0,-0.053490092,-0.06050842
1764,0,0,0,-0.007850869,-0.006578298,-0.0495,-0.0583,0,0,-0.057350869,-0.064878298
1765,0,0,0,-0.008411645,-0.007048176,-0.0668,-0.0786,0,0,-0.075211645,-0.085648176
1766,0,0.0011,8.00E-04,-0.008972421,-0.007518055,-0.0648,-0.0762,0,0,-0.072672421,-0.082918055
1767,0,0.0014,0.0011,-0.009533198,-0.007987933,-0.0218,-0.0257,0,0,-0.029933198,-0.032587933
1768,0.0019,0.002,0.0016,-0.010093974,-0.008457812,0.0203,0.0239,0,0,0.014106026,0.018942188
1769,0.0019,0.0025,0.0021,-0.01065475,-0.00892769,0.0537,0.0633,0,0,0.04744525,0.05837231
1770,0.0038,0.003,0.0024,-0.011215527,-0.009397569,0.0599,0.0705,0,0,0.055484473,0.067302431
1771,0.0038,0.0035,0.0029,-0.011776303,-0.009867447,0.0478,0.0562,0,0,0.043323697,0.053032553
1772,0.0058,0.004,0.0034,-0.012337079,-0.010337325,0.035,0.0412,0,0,0.032462921,0.040062675
1773,0.0058,0.0045,0.0038,-0.012897856,-0.010807204,0.003,0.0036,0,0,0.000402144,0.002392796
1774,0.0077,0.0052,0.0045,-0.013458632,-0.011277082,-0.0037,-0.0044,0,0,-0.004258632,-0.003477082
1775,0.0077,0.0058,0.005,-0.014019408,-0.011746961,-0.0276,-0.0325,0,0,-0.028119408,-0.031546961
1776,0.0096,0.0065,0.0056,-0.014580185,-0.012216839,-0.0159,-0.0188,0,0,-0.014380185,-0.015816839
1777,0.0096,0.0072,0.0062,-0.015140961,-0.012686718,0.0105,0.0123,0,0,0.012159039,0.015413282
1778,0.0115,0.0078,0.0068,-0.015701737,-0.013156596,0.0748,0.0881,0,0,0.078398263,0.093243404
1779,0.0134,0.0084,0.0074,-0.016262514,-0.013626474,0.0692,0.0815,0,0,0.074737486,0.088673526
1780,0.0153,0.0093,0.0082,-0.01682329,-0.014096353,0.0314,0.037,0,0,0.03917671,0.046403647
1781,0.0153,0.0101,0.0088,-0.017384066,-0.014566231,0.0516,0.0608,0,0,0.059615934,0.070333769
1782,0.0173,0.0108,0.0095,-0.017944843,-0.01503611,0.0066,0.0077,0,0,0.016755157,0.01946389
1783,0.0192,0.0116,0.0102,-0.018505619,-0.015505988,-0.0067,-0.0079,0,0,0.005594381,0.005994012
1784,0.0211,0.0124,0.011,-0.019066395,-0.015975867,-0.0247,-0.0291,0,0,-0.010266395,-0.012975867
1785,0.023,0.0133,0.0118,-0.019627172,-0.016445745,-0.0057,-0.0067,0,0,0.010972828,0.011654255
1786,0.0249,0.0141,0.0125,-0.020187948,-0.016915623,0.064,0.0753,0,0,0.082812052,0.095784377
1787,0.0268,0.0151,0.0134,-0.020748724,-0.017385502,0.1031,0.1213,0,0,0.124251276,0.144114498
1788,0.0287,0.0161,0.0143,-0.021309501,-0.01785538,0.0971,0.1143,0,0,0.120590499,0.13944462
1789,0.0306,0.0171,0.0151,-0.021870277,-0.018325259,0.0926,0.109,0,0,0.118429723,0.136374741
1790,0.0325,0.018,0.016,-0.022431053,-0.018795137,0.0742,0.0873,0,0,0.102268947,0.117004863
1791,0.0345,0.0181,0.0164,-0.02299183,-0.019265016,0.0409,0.0482,0,0,0.07050817,0.079834984
1792,0.0364,0.0185,0.0171,-0.023552606,-0.019734894,0.0342,0.0403,0,0,0.065547394,0.074065106
1793,0.0383,0.0203,0.0183,-0.024113382,-0.020204772,0.0049,0.0057,0,0,0.039386618,0.042095228
1794,0.0402,0.0206,0.0189,-0.024674159,-0.020674651,-0.0037,-0.0043,0,0,0.032425841,0.034125349
1795,0.0421,0.0209,0.0195,-0.025234935,-0.021144529,-0.0339,-0.0398,0,0,0.003865065,0.000655471
1796,0.0459,0.0213,0.0202,-0.025795711,-0.021614408,-0.0499,-0.0587,0,0,-0.008495711,-0.014214408
1797,0.0478,0.0217,0.0209,-0.026356488,-0.022084286,-0.0725,-0.0853,0,0,-0.029356488,-0.038684286
1798,0.0497,0.0221,0.0215,-0.026917264,-0.022554165,-0.0915,-0.1077,0,0,-0.046617264,-0.059054165
1799,0.0535,0.0224,0.0221,-0.02747804,-0.023024043,-0.1057,-0.1244,0,0,-0.05727804,-0.071824043
1800,0.0554,0.0229,0.0229,-0.028038817,-0.023493921,-0.1089,-0.1282,0,0,-0.058638817,-0.073393921
1801,0.0592,0.0233,0.0236,-0.028599593,-0.0239638,-0.0724,-0.0852,0,0,-0.018499593,-0.0263638
1802,0.0611,0.0238,0.0243,-0.029160369,-0.024433678,-0.1026,-0.1207,0,0,-0.046860369,-0.059733678
1803,0.063,0.0244,0.0251,-0.029721146,-0.024903557,-0.1454,-0.1711,0,0,-0.087721146,-0.107903557
1804,0.0668,0.025,0.026,-0.030281922,-0.025373435,-0.1519,-0.1788,0,0,-0.090381922,-0.111373435
1805,0.0687,0.0255,0.0268,-0.030842698,-0.025843314,-0.1575,-0.1853,0,0,-0.094142698,-0.115643314
1806,0.0725,0.026,0.0275,-0.031403475,-0.026313192,-0.1871,-0.2202,0,0,-0.120003475,-0.146513192
1807,0.0744,0.0266,0.0284,-0.031964251,-0.02678307,-0.2014,-0.237,0,0,-0.132364251,-0.16098307
1808,0.0763,0.0271,0.0292,-0.032525027,-0.027252949,-0.208,-0.2448,0,0,-0.137125027,-0.166552949
1809,0.08,0.0278,0.0301,-0.033085804,-0.027722827,-0.2148,-0.2528,0,0,-0.140085804,-0.170422827
1810,0.0819,0.0285,0.031,-0.03364658,-0.028192706,-0.2192,-0.258,0,0,-0.14244658,-0.173292706
1811,0.0857,0.0293,0.0321,-0.034207356,-0.028662584,-0.2205,-0.2595,0,0,-0.139707356,-0.170362584
1812,0.0876,0.0299,0.033,-0.034768133,-0.029132463,-0.216,-0.2542,0,0,-0.133268133,-0.162732463
1813,0.0895,0.0307,0.034,-0.035328909,-0.029602341,-0.2121,-0.2497,0,0,-0.127228909,-0.155802341
1814,0.0914,0.0314,0.0349,-0.035889685,-0.030072219,-0.2108,-0.2481,0,0,-0.123889685,-0.151872219
1815,0.0952,0.0321,0.0359,-0.036450462,-0.030542098,-0.2034,-0.2393,0,0,-0.112550462,-0.138742098
1816,0.097,0.033,0.037,-0.037011238,-0.031011976,-0.1785,-0.2101,0,0,-0.085511238,-0.107111976
1817,0.0989,0.0338,0.038,-0.037572014,-0.031481855,-0.1783,-0.2098,0,0,-0.083172014,-0.104381855
1818,0.1008,0.0346,0.0391,-0.038132791,-0.031951733,-0.1813,-0.2134,0,0,-0.084032791,-0.105451733
1819,0.1027,0.0356,0.0403,-0.038693567,-0.032421612,-0.1793,-0.211,0,0,-0.079693567,-0.100421612
1820,0.1046,0.0364,0.0413,-0.039254343,-0.03289149,-0.1852,-0.218,0,0,-0.083454343,-0.10499149
1821,0.1065,0.0373,0.0424,-0.03981512,-0.033361368,-0.1853,-0.2181,0,0,-0.08131512,-0.102561368
1822,0.1083,0.0383,0.0436,-0.040375896,-0.033831247,-0.18,-0.2118,0,0,-0.073775896,-0.093731247
1823,0.1102,0.0393,0.0448,-0.040936672,-0.034301125,-0.1744,-0.2053,0,0,-0.065836672,-0.084601125
1824,0.1121,0.0403,0.0461,-0.041497449,-0.034771004,-0.1609,-0.1894,0,0,-0.049997449,-0.065971004
1825,0.114,0.0413,0.0472,-0.042058225,-0.035240882,-0.1397,-0.1644,0,0,-0.026458225,-0.038440882
1826,0.1159,0.0423,0.0485,-0.042619001,-0.035710761,-0.1132,-0.1333,0,0,0.002380999,-0.004610761
1827,0.1177,0.0442,0.05,-0.043179778,-0.036180639,-0.0846,-0.0995,0,0,0.034120222,0.032019361
1828,0.1177,0.0463,0.0517,-0.043740554,-0.036650517,-0.0576,-0.0677,0,0,0.062659446,0.065049483
1829,0.1196,0.0483,0.0532,-0.04430133,-0.037120396,-0.0424,-0.0499,0,0,0.08119867,0.085779604
1830,0.1215,0.0503,0.0548,-0.044862107,-0.037590274,-0.0234,-0.0275,0,0,0.103537893,0.111209726
1831,0.1234,0.0523,0.0564,-0.045422883,-0.038060153,-0.0373,-0.0439,0,0,0.092977117,0.097839847
1832,0.1252,0.0544,0.0581,-0.045983659,-0.038530031,-0.0439,-0.0516,0,0,0.089716341,0.093169969
1833,0.1271,0.0566,0.0598,-0.046544436,-0.03899991,-0.0486,-0.0572,0,0,0.088555564,0.09070009
1834,0.129,0.0587,0.0615,-0.047105212,-0.039469788,-0.0302,-0.0356,0,0,0.110394788,0.115430212
1835,0.1327,0.0608,0.0632,-0.047665988,-0.039939666,0.0244,0.0288,0,0,0.170234012,0.184760334
1836,0.1346,0.063,0.065,-0.048226765,-0.040409545,0.0973,0.1146,0,0,0.246673235,0.273790455
1837,0.1365,0.0651,0.0666,-0.048787541,-0.040879423,0.1144,0.1346,0,0,0.267212459,0.296820577
1838,0.1384,0.0675,0.0685,-0.049348317,-0.041349302,0.0856,0.1008,0,0,0.242151683,0.266350698
1839,0.1421,0.0697,0.0703,-0.049909094,-0.04181918,0.0756,0.089,0,0,0.237490906,0.25958082
1840,0.144,0.0719,0.072,-0.05046987,-0.042289059,0.0578,0.068,0,0,0.22323013,0.241710941
1841,0.1458,0.0741,0.0738,-0.051030646,-0.042758937,0.031,0.0365,0,0,0.199869354,0.213341063
1842,0.1496,0.0765,0.0758,-0.051591423,-0.043228815,0.0183,0.0216,0,0,0.192808577,0.203771185
1843,0.1514,0.079,0.0777,-0.052152199,-0.043698694,8.00E-04,0.001,0,0,0.179047801,0.186401306
1844,0.1552,0.0813,0.0796,-0.052712975,-0.044168572,-0.0013,-0.0016,0,0,0.182487025,0.189031428
1845,0.157,0.0836,0.0815,-0.053273752,-0.044638451,0.0123,0.0144,0,0,0.199626248,0.208261549
1846,0.1589,0.0862,0.0835,-0.053834528,-0.045108329,0.02,0.0236,0,0,0.211265472,0.220891671
1847,0.1626,0.0889,0.0857,-0.054395304,-0.045578208,0.0367,0.0432,0,0,0.233804696,0.245921792
1848,0.1645,0.0914,0.0877,-0.054956081,-0.046048086,0.0637,0.075,0,0,0.264643919,0.281151914
1849,0.1664,0.094,0.0898,-0.055516857,-0.046517964,0.0597,0.0703,0,0,0.264583143,0.279982036
1850,0.1701,0.0968,0.092,-0.056077633,-0.046987843,0.0191,0.0224,0,0,0.229922367,0.237512157
1851,0.1719,0.0993,0.0942,-0.056817783,-0.047605823,0.0204,0.024,0,0,0.234782217,0.242494177
1852,0.1738,0.1018,0.0965,-0.058010842,-0.048601835,0.009,0.0106,0,0,0.226589158,0.232298165
1853,0.1757,0.1062,0.0993,-0.05916725,-0.049567107,-0.011,-0.0129,0,0,0.21173275,0.212532893
1854,0.1775,0.1069,0.101,-0.06259574,-0.052428101,-0.0364,-0.0428,0,0,0.18540426,0.183271899
1855,0.1812,0.1113,0.1038,-0.063416049,-0.053112447,-0.0523,-0.0615,0,0,0.176783951,0.170387553
1856,0.1831,0.114,0.1062,-0.065245355,-0.054638301,-0.0529,-0.0622,0,0,0.178954645,0.172461699
1857,0.1849,0.1184,0.1091,-0.065862568,-0.055153049,-0.0321,-0.0378,0,0,0.205337432,0.201046951
1858,0.1868,0.121,0.1114,-0.066455815,-0.055647772,0.0026,0.0031,0,0,0.243944185,0.245652228
1859,0.1886,0.1256,0.1145,-0.068637062,-5.75E-02,0.0498,0.0586,0,0,0.295362938,0.304233548
1860,0.1905,0.1283,0.1168,-0.07137125,-0.059745461,0.0611,0.0719,0,0,0.30852875,0.319454539
1861,0.1923,0.1327,0.1197,-0.072671598,-0.060829057,0.0428,0.0504,0,0,0.295128402,0.301570943
1862,0.1942,0.1356,0.1222,-0.073498541,-0.061518067,0.0167,0.0197,0,0,0.273001459,0.274581933
1863,0.196,0.1402,0.1253,-0.076224419,-0.063788766,0.0074,0.0087,0,0,0.267375581,0.266211234
1864,0.1979,0.1448,0.1283,-0.078980969,-0.066084225,0,0,0,0,0.263719031,0.260115775
1865,0.1997,0.1456,0.1301,-0.081062905,-0.067817388,-0.0177,-0.0209,0,0,0.246537095,0.241082612
1866,0.2034,0.1505,0.1333,-0.082249693,-0.068805158,-0.0276,-0.0325,0,0,0.244050307,0.235394842
1867,0.2053,0.157,0.137,-0.086238389,-0.072123893,-0.0377,-0.0444,0,0,0.238361611,0.225776107
1868,0.2071,0.1617,0.1402,-0.088287545,-0.073828217,-0.011,-0.013,0,0,0.269512455,0.260471783
1869,0.2108,0.1664,0.1433,-0.091899423,-0.076831219,0.0295,0.0347,0,0,0.314800577,0.311968781
1870,0.2127,0.173,0.1471,-0.093696505,-0.078324848,0.0743,0.0874,0,0,0.366303495,0.368875152
1871,0.2164,0.176,0.1497,-0.09724978,-0.081277128,0.0603,0.071,0,0,0.35545022,0.355822872
1872,0.2201,0.1811,0.1532,-0.103695668,-0.086629405,0.0493,0.058,0,0,0.346804332,0.344670595
1873,0.2219,0.186,0.1564,-0.108129064,-0.090308109,0.0097,0.0115,0,0,0.309470936,0.299491891
1874,0.2256,0.1888,0.1589,-0.106104857,-0.088628735,-0.0181,-0.0213,0,0,0.290195143,0.274571265
1875,0.2293,0.1936,0.1622,-0.110150762,-0.091984975,-0.0556,-0.0655,0,0,0.257149238,0.234015025
1876,0.2329,0.1965,0.1648,-0.112515861,-0.093946127,-0.0626,-0.0736,0,0,0.254284139,0.230153873
1877,0.2366,0.2014,0.168,-0.115441544,-0.096371309,-0.0663,-0.078,0,0,0.256258456,0.230228691
1878,0.2403,0.2081,0.1719,-0.115763741,-0.096638333,-0.085,-0.1001,0,0,0.247636259,0.215461667
1879,0.244,0.213,0.1752,-0.122423637,-0.102155356,-0.0851,-0.1002,0,0,0.249476363,0.216844644
1880,0.2476,0.2182,0.1788,-0.131975961,-0.110060364,-0.0665,-0.0783,0,0,0.267324039,0.238039636
1881,0.2531,0.2235,0.1824,-0.135731489,-0.113165636,-0.0396,-0.0466,0,0,0.301268511,0.275734364
1882,0.2568,0.2287,0.1859,-0.142277647,-0.118574832,-0.055,-0.0648,0,0,0.288222353,0.259325168
1883,0.2604,0.234,0.1895,-0.149429707,-0.124479582,-0.0747,-0.0879,0,0,0.270270293,0.237520418
1884,0.2659,0.2391,0.1929,-0.152426059,-0.126951788,-0.0617,-0.0726,0,0,0.290873941,0.259248212
1885,0.2696,0.246,0.197,-0.154180833,-0.128399168,-0.0674,-0.0793,0,0,0.294019167,0.258900832
1886,0.2751,0.253,0.201,-0.156371727,-0.13020582,-0.0867,-0.102,0,0,0.285028273,0.24389418
1887,0.2787,0.2618,0.2057,-0.162189026,-0.135000445,-0.0921,-0.1084,0,0,0.286210974,0.240999555
1888,0.2842,0.2691,0.2101,-0.176373555,-0.146676562,-0.0945,-0.1112,0,0,0.282426445,0.236423438
1889,0.2896,0.2782,0.215,-0.175119219,-0.145644889,-0.088,-0.1036,0,0,0.304680781,0.255355111
1890,0.2933,0.2874,0.2199,-0.189857645,-0.157756675,-0.0825,-0.0971,0,0,0.308342355,0.258343325
1891,0.2987,0.2928,0.2236,-0.198116727,-0.164533962,-0.0475,-0.0559,0,0,0.345883273,0.301866038
1892,0.3023,0.2981,0.2273,-0.203007405,-0.168543838,-0.0138,-0.0162,0,0,0.383592595,0.344856162
