"model","variable","ctag","vtag","scenario","year","type","units","latbox","value"
"bcc-csm1-1","tas","temperature","tgav","historical",1850,"Simulated","C","global",13.6654
"bcc-csm1-1","tas","temperature","tgav","historical",1851,"Simulated","C","global",13.6734
"bcc-csm1-1","tas","temperature","tgav","historical",1852,"Simulated","C","global",13.6653666666667
"bcc-csm1-1","tas","temperature","tgav","historical",1853,"Simulated","C","global",13.6990666666667
"bcc-csm1-1","tas","temperature","tgav","historical",1854,"Simulated","C","global",13.6761333333333
"bcc-csm1-1","tas","temperature","tgav","historical",1855,"Simulated","C","global",13.6979333333334
"bcc-csm1-1","tas","temperature","tgav","historical",1856,"Simulated","C","global",13.6864
"bcc-csm1-1","tas","temperature","tgav","historical",1857,"Simulated","C","global",13.4578666666667
"bcc-csm1-1","tas","temperature","tgav","historical",1858,"Simulated","C","global",13.5713666666667
"bcc-csm1-1","tas","temperature","tgav","historical",1859,"Simulated","C","global",13.6565
"bcc-csm1-1","tas","temperature","tgav","historical",1860,"Simulated","C","global",13.7683
"bcc-csm1-1","tas","temperature","tgav","historical",1861,"Simulated","C","global",13.7923
"bcc-csm1-1","tas","temperature","tgav","historical",1862,"Simulated","C","global",13.8196666666667
"bcc-csm1-1","tas","temperature","tgav","historical",1863,"Simulated","C","global",13.6544333333333
"bcc-csm1-1","tas","temperature","tgav","historical",1864,"Simulated","C","global",13.8148
"bcc-csm1-1","tas","temperature","tgav","historical",1865,"Simulated","C","global",13.8048
"bcc-csm1-1","tas","temperature","tgav","historical",1866,"Simulated","C","global",13.7733666666667
"bcc-csm1-1","tas","temperature","tgav","historical",1867,"Simulated","C","global",13.7253666666667
"bcc-csm1-1","tas","temperature","tgav","historical",1868,"Simulated","C","global",13.7875333333333
"bcc-csm1-1","tas","temperature","tgav","historical",1869,"Simulated","C","global",13.8565
"bcc-csm1-1","tas","temperature","tgav","historical",1870,"Simulated","C","global",13.9122
"bcc-csm1-1","tas","temperature","tgav","historical",1871,"Simulated","C","global",13.9494
"bcc-csm1-1","tas","temperature","tgav","historical",1872,"Simulated","C","global",13.9465666666667
"bcc-csm1-1","tas","temperature","tgav","historical",1873,"Simulated","C","global",13.8615333333333
"bcc-csm1-1","tas","temperature","tgav","historical",1874,"Simulated","C","global",13.9371333333333
"bcc-csm1-1","tas","temperature","tgav","historical",1875,"Simulated","C","global",13.9034666666667
"bcc-csm1-1","tas","temperature","tgav","historical",1876,"Simulated","C","global",13.8908666666667
"bcc-csm1-1","tas","temperature","tgav","historical",1877,"Simulated","C","global",13.8639
"bcc-csm1-1","tas","temperature","tgav","historical",1878,"Simulated","C","global",13.8111333333333
"bcc-csm1-1","tas","temperature","tgav","historical",1879,"Simulated","C","global",13.8426333333333
"bcc-csm1-1","tas","temperature","tgav","historical",1880,"Simulated","C","global",13.8462333333333
"bcc-csm1-1","tas","temperature","tgav","historical",1881,"Simulated","C","global",13.8249
"bcc-csm1-1","tas","temperature","tgav","historical",1882,"Simulated","C","global",13.8924333333333
"bcc-csm1-1","tas","temperature","tgav","historical",1883,"Simulated","C","global",13.7772333333333
"bcc-csm1-1","tas","temperature","tgav","historical",1884,"Simulated","C","global",13.2345333333333
"bcc-csm1-1","tas","temperature","tgav","historical",1885,"Simulated","C","global",13.4075333333333
"bcc-csm1-1","tas","temperature","tgav","historical",1886,"Simulated","C","global",13.5671666666667
"bcc-csm1-1","tas","temperature","tgav","historical",1887,"Simulated","C","global",13.6217333333333
"bcc-csm1-1","tas","temperature","tgav","historical",1888,"Simulated","C","global",13.6469666666667
