year,variable,ctag,vtag,scenario,units,type,latbox,error,error_min,error_max,meanvalue,value,nmodels,model
1850,tas,temperature,tgav,historical,C,Simulated,global,0.615090912,12.05578333,13.6654,13.12544722,13.31755,1,CMIP5
1850,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.44853946,-12.63713333,-8.9781,-11.45840556,-12.15825,1,CMIP5
1850,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.877646698,17.04103333,19.2866,18.45093056,18.693625,1,CMIP5
1851,tas,temperature,tgav,historical,C,Simulated,global,0.615482955,12.09455,13.7575,13.17144167,13.2987,1,CMIP5
1851,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.523297006,-12.5461,-8.6163,-11.30106111,-12.0449,1,CMIP5
1851,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.874696549,17.07075,19.2064,18.47319167,18.8008,1,CMIP5
1852,tas,temperature,tgav,historical,C,Simulated,global,0.600512063,12.1044,13.6751,13.08228611,13.1655,1,CMIP5
1852,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.540890149,-12.54343333,-8.8461,-11.50415,-12.37815,1,CMIP5
1852,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.840484103,17.0934,19.13743333,18.40863889,18.67005,1,CMIP5
1853,tas,temperature,tgav,historical,C,Simulated,global,0.64532553,12.05918333,13.7523,13.12711667,13.2658,1,CMIP5
1853,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.520824887,-12.75626667,-8.7034,-11.36104722,-11.90445,1,CMIP5
1853,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.869037052,17.05288333,19.22263333,18.43153611,18.68175,1,CMIP5
1854,tas,temperature,tgav,historical,C,Simulated,global,0.702567472,12.05291667,13.9608,13.15549167,13.2908,1,CMIP5
1854,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.4557504,-12.7493,-8.8847,-11.34628889,-11.69395,1,CMIP5
1854,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.904818533,17.04756667,19.2893,18.46353611,18.726725,1,CMIP5
1855,tas,temperature,tgav,historical,C,Simulated,global,0.692954257,12.03486667,13.8386,13.1618,13.3429,1,CMIP5
1855,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.352992231,-12.62215,-9.0395,-11.32791667,-11.6913,1,CMIP5
1855,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.913422177,17.0282,19.3272,18.46761111,18.736,1,CMIP5
1856,tas,temperature,tgav,historical,C,Simulated,global,0.664959258,11.94368333,13.6864,13.08618056,13.24395,1,CMIP5
1856,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.556142916,-12.92586667,-8.8195,-11.55796944,-12.14765,1,CMIP5
1856,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.896158816,16.95295,19.24276667,18.42446111,18.710925,1,CMIP5
1857,tas,temperature,tgav,historical,C,Simulated,global,0.603263056,11.90836667,13.5296,12.98857222,13.1614,1,CMIP5
1857,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.626485167,-13.09506667,-8.8734,-11.60428889,-12.29305,1,CMIP5
1857,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.854535302,16.86215,19.0313,18.31653889,18.597425,1,CMIP5
1858,tas,temperature,tgav,historical,C,Simulated,global,0.632254108,11.94653333,13.6271,13.054275,13.2194,1,CMIP5
1858,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.449341192,-12.8381,-9.0142,-11.44473889,-11.88045,1,CMIP5
1858,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.858557446,16.91576667,19.0854,18.36133611,18.653075,1,CMIP5
1859,tas,temperature,tgav,historical,C,Simulated,global,0.783482186,11.6494,13.6565,12.87340952,13.07,1,CMIP5
1859,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.286879682,-12.56183333,-9.1578,-11.57974667,-12.28176,1,CMIP5
1859,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.927416443,16.95031667,19.2169,18.21707524,18.38815,1,CMIP5
1860,tas,temperature,tgav,historical,C,Simulated,global,0.64128193,12.02446667,13.7683,13.20613952,13.554,1,CMIP5
1860,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.428984484,-12.5289,-8.7785,-10.99609952,-11.7617,1,CMIP5
1860,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.872744377,16.95685,19.2737,18.49520905,18.9486,1,CMIP5
1861,tas,temperature,tgav,historical,C,Simulated,global,0.668172266,12.02896667,13.7923,13.22872952,13.5667,1,CMIP5
1861,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.330668385,-12.7282,-9.2622,-11.12258476,-11.6733,1,CMIP5
1861,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.855977507,17.01168333,19.2693,18.54970238,19.037,1,CMIP5
1862,tas,temperature,tgav,historical,C,Simulated,global,0.632903913,12.07853333,13.81966667,13.22908286,13.4859,1,CMIP5
1862,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.396590306,-12.5089,-8.9009,-10.97847571,-11.5179,1,CMIP5
1862,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.82308538,17.04655,19.20896667,18.51846667,19.0337,1,CMIP5
1863,tas,temperature,tgav,historical,C,Simulated,global,0.569692271,12.10483333,13.65443333,13.16375524,13.4267,1,CMIP5
1863,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.404615551,-12.49785,-9.272,-11.15780286,-11.5784,1,CMIP5
1863,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.78399511,17.0342,19.10476667,18.4773081,18.9215,1,CMIP5
1864,tas,temperature,tgav,historical,C,Simulated,global,0.600618936,12.12553333,13.8148,13.20394905,13.4759,1,CMIP5
1864,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.478168555,-12.6361,-8.8069,-11.0464519,-11.8246,1,CMIP5
1864,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.800144624,17.06135,19.22083333,18.50317905,18.8503,1,CMIP5
1865,tas,temperature,tgav,historical,C,Simulated,global,0.581642202,12.16685,13.8048,13.20138429,13.4999,1,CMIP5
1865,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.482352261,-12.72755,-8.7873,-11.07627238,-11.8482,1,CMIP5
1865,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.77787878,17.09856667,19.2268,18.50671857,18.89778,1,CMIP5
1866,tas,temperature,tgav,historical,C,Simulated,global,0.570401397,12.14801667,13.77336667,13.15942048,13.45,1,CMIP5
1866,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.410307914,-12.69895,-8.879,-11.08786286,-11.5573,1,CMIP5
1866,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.771146553,17.10113333,19.16936667,18.45798429,18.8636,1,CMIP5
1867,tas,temperature,tgav,historical,C,Simulated,global,0.601066426,12.12728333,13.7731,13.21935429,13.435,1,CMIP5
1867,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.41914169,-12.7315,-8.8661,-11.08136,-11.6404,1,CMIP5
1867,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.788127154,17.07423333,19.1615,18.53010619,18.93826,1,CMIP5
1868,tas,temperature,tgav,historical,C,Simulated,global,0.622353529,12.1461,13.8245,13.2689319,13.52634,1,CMIP5
1868,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.418349867,-12.71775,-8.6078,-10.94378143,-11.3324,1,CMIP5
1868,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.796855556,17.10783333,19.2184,18.56018,18.93296,1,CMIP5
1869,tas,temperature,tgav,historical,C,Simulated,global,0.592824897,12.1813,13.8565,13.25502429,13.5579,1,CMIP5
1869,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.380581323,-12.57275,-8.7932,-10.9817881,-11.3228,1,CMIP5
1869,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.774712072,17.1562,19.24866667,18.55115524,18.971,1,CMIP5
1870,tas,temperature,tgav,historical,C,Simulated,global,0.619867364,12.20503333,13.9122,13.25999619,13.3007,1,CMIP5
1870,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.498681361,-12.91935,-8.8944,-11.10613238,-11.78676667,1,CMIP5
1870,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.78259453,17.18365,19.27786667,18.58490524,18.97492,1,CMIP5
1871,tas,temperature,tgav,historical,C,Simulated,global,0.625773439,12.22015,13.9494,13.28632,13.4575,1,CMIP5
1871,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.365977697,-12.5877,-8.9946,-11.01385524,-11.716,1,CMIP5
1871,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.825720586,17.18311667,19.31716667,18.59722333,19.04088,1,CMIP5
1872,tas,temperature,tgav,historical,C,Simulated,global,0.640831656,12.18133333,13.94656667,13.32364429,13.6027,1,CMIP5
1872,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.327273733,-12.52065,-8.9204,-10.89810286,-11.6418,1,CMIP5
1872,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.822911041,17.15008333,19.3109,18.61706333,19.07216,1,CMIP5
1873,tas,temperature,tgav,historical,C,Simulated,global,0.611641334,12.19755,13.86153333,13.26287476,13.3506,1,CMIP5
1873,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.581275275,-12.9505,-8.6809,-11.06761429,-11.8324,1,CMIP5
1873,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.787221084,17.16946667,19.25733333,18.58024286,19.079,1,CMIP5
1874,tas,temperature,tgav,historical,C,Simulated,global,0.627254059,12.24735,13.93713333,13.3197819,13.4395,1,CMIP5
1874,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.457279966,-12.60735,-8.714,-10.8995219,-11.4053,1,CMIP5
1874,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.810972143,17.2056,19.3192,18.61304286,19.0527,1,CMIP5
1875,tas,temperature,tgav,historical,C,Simulated,global,0.578946421,12.288,13.90346667,13.3045181,13.554,1,CMIP5
1875,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.379124098,-12.27165,-8.8594,-10.94160524,-11.8859,1,CMIP5
1875,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.783665511,17.25923333,19.3017,18.60281524,18.99474,1,CMIP5
1876,tas,temperature,tgav,historical,C,Simulated,global,0.591204464,12.25706667,13.89086667,13.31271048,13.59564,1,CMIP5
1876,tas,temperature,tgav_HL,historical,C,Simulated,HL,1.405588244,-12.3865,-8.5244,-10.84590524,-11.4521,1,CMIP5
1876,tas,temperature,tgav_LL,historical,C,Simulated,LL,0.782708956,17.21206667,19.3481,18.59223857,18.97882,1,CMIP5
