"model","variable","ctag","vtag","scenario","year","type","units","latbox","value"
"bcc-csm1-1","tas","temperature","tgav","rcp85",2006,"Simulated","C","global",15.0207
"bcc-csm1-1","tas","temperature","tgav","rcp85",2007,"Simulated","C","global",15.1295
"bcc-csm1-1","tas","temperature","tgav","rcp85",2008,"Simulated","C","global",15.2107
"bcc-csm1-1","tas","temperature","tgav","rcp85",2009,"Simulated","C","global",15.1682
"bcc-csm1-1","tas","temperature","tgav","rcp85",2010,"Simulated","C","global",15.1788
"bcc-csm1-1","tas","temperature","tgav","rcp85",2011,"Simulated","C","global",15.1829
"bcc-csm1-1","tas","temperature","tgav","rcp85",2012,"Simulated","C","global",15.0633
"bcc-csm1-1","tas","temperature","tgav","rcp85",2013,"Simulated","C","global",15.1302
"bcc-csm1-1","tas","temperature","tgav","rcp85",2014,"Simulated","C","global",15.0699
"bcc-csm1-1","tas","temperature","tgav","rcp85",2015,"Simulated","C","global",15.1419
"bcc-csm1-1","tas","temperature","tgav","rcp85",2016,"Simulated","C","global",15.1301
"bcc-csm1-1","tas","temperature","tgav","rcp85",2017,"Simulated","C","global",15.234
"bcc-csm1-1","tas","temperature","tgav","rcp85",2018,"Simulated","C","global",15.3001
"bcc-csm1-1","tas","temperature","tgav","rcp85",2019,"Simulated","C","global",15.4094
"bcc-csm1-1","tas","temperature","tgav","rcp85",2020,"Simulated","C","global",15.4027
"bcc-csm1-1","tas","temperature","tgav","rcp85",2021,"Simulated","C","global",15.2229
"bcc-csm1-1","tas","temperature","tgav","rcp85",2022,"Simulated","C","global",15.1982
"bcc-csm1-1","tas","temperature","tgav","rcp85",2023,"Simulated","C","global",15.4587
"bcc-csm1-1","tas","temperature","tgav","rcp85",2024,"Simulated","C","global",15.4038
"bcc-csm1-1","tas","temperature","tgav","rcp85",2025,"Simulated","C","global",15.3169
"bcc-csm1-1","tas","temperature","tgav","rcp85",2026,"Simulated","C","global",15.4259
"bcc-csm1-1","tas","temperature","tgav","rcp85",2027,"Simulated","C","global",15.505
"bcc-csm1-1","tas","temperature","tgav","rcp85",2028,"Simulated","C","global",15.5431
"bcc-csm1-1","tas","temperature","tgav","rcp85",2029,"Simulated","C","global",15.4973
"bcc-csm1-1","tas","temperature","tgav","rcp85",2030,"Simulated","C","global",15.5519
"bcc-csm1-1","tas","temperature","tgav","rcp85",2031,"Simulated","C","global",15.4626
"bcc-csm1-1","tas","temperature","tgav","rcp85",2032,"Simulated","C","global",15.5768
"bcc-csm1-1","tas","temperature","tgav","rcp85",2033,"Simulated","C","global",15.622
"bcc-csm1-1","tas","temperature","tgav","rcp85",2034,"Simulated","C","global",15.8002
"bcc-csm1-1","tas","temperature","tgav","rcp85",2035,"Simulated","C","global",15.8312
"bcc-csm1-1","tas","temperature","tgav","rcp85",2036,"Simulated","C","global",15.7476
"bcc-csm1-1","tas","temperature","tgav","rcp85",2037,"Simulated","C","global",15.8308
"bcc-csm1-1","tas","temperature","tgav","rcp85",2038,"Simulated","C","global",15.9371
"bcc-csm1-1","tas","temperature","tgav","rcp85",2039,"Simulated","C","global",16.022
"bcc-csm1-1","tas","temperature","tgav","rcp85",2040,"Simulated","C","global",16.0009
"bcc-csm1-1","tas","temperature","tgav","rcp85",2041,"Simulated","C","global",15.9748
"bcc-csm1-1","tas","temperature","tgav","rcp85",2042,"Simulated","C","global",16.0355
"bcc-csm1-1","tas","temperature","tgav","rcp85",2043,"Simulated","C","global",15.965
"bcc-csm1-1","tas","temperature","tgav","rcp85",2044,"Simulated","C","global",16.0023
"bcc-csm1-1","tas","temperature","tgav","rcp85",2045,"Simulated","C","global",16.0852
"bcc-csm1-1","tas","temperature","tgav","rcp85",2046,"Simulated","C","global",16.177
"bcc-csm1-1","tas","temperature","tgav","rcp85",2047,"Simulated","C","global",16.1292
"bcc-csm1-1","tas","temperature","tgav","rcp85",2048,"Simulated","C","global",16.2138
"bcc-csm1-1","tas","temperature","tgav","rcp85",2049,"Simulated","C","global",16.2575000000001
"bcc-csm1-1","tas","temperature","tgav","rcp85",2050,"Simulated","C","global",16.3322
"bcc-csm1-1","tas","temperature","tgav","rcp85",2051,"Simulated","C","global",16.2954
"bcc-csm1-1","tas","temperature","tgav","rcp85",2052,"Simulated","C","global",16.308
"bcc-csm1-1","tas","temperature","tgav","rcp85",2053,"Simulated","C","global",16.4819
"bcc-csm1-1","tas","temperature","tgav","rcp85",2054,"Simulated","C","global",16.5267
"bcc-csm1-1","tas","temperature","tgav","rcp85",2055,"Simulated","C","global",16.5932
"bcc-csm1-1","tas","temperature","tgav","rcp85",2056,"Simulated","C","global",16.4923
"bcc-csm1-1","tas","temperature","tgav","rcp85",2057,"Simulated","C","global",16.548
"bcc-csm1-1","tas","temperature","tgav","rcp85",2058,"Simulated","C","global",16.6783
"bcc-csm1-1","tas","temperature","tgav","rcp85",2059,"Simulated","C","global",16.7757
"bcc-csm1-1","tas","temperature","tgav","rcp85",2060,"Simulated","C","global",16.845
"bcc-csm1-1","tas","temperature","tgav","rcp85",2061,"Simulated","C","global",16.8088
"bcc-csm1-1","tas","temperature","tgav","rcp85",2062,"Simulated","C","global",16.9386
"bcc-csm1-1","tas","temperature","tgav","rcp85",2063,"Simulated","C","global",17.1183
"bcc-csm1-1","tas","temperature","tgav","rcp85",2064,"Simulated","C","global",17.1428
"bcc-csm1-1","tas","temperature","tgav","rcp85",2065,"Simulated","C","global",17.1581
"bcc-csm1-1","tas","temperature","tgav","rcp85",2066,"Simulated","C","global",17.3146
"bcc-csm1-1","tas","temperature","tgav","rcp85",2067,"Simulated","C","global",17.3423
"bcc-csm1-1","tas","temperature","tgav","rcp85",2068,"Simulated","C","global",17.1956
"bcc-csm1-1","tas","temperature","tgav","rcp85",2069,"Simulated","C","global",17.2298
"bcc-csm1-1","tas","temperature","tgav","rcp85",2070,"Simulated","C","global",17.2833
"bcc-csm1-1","tas","temperature","tgav","rcp85",2071,"Simulated","C","global",17.3135
"bcc-csm1-1","tas","temperature","tgav","rcp85",2072,"Simulated","C","global",17.4182
"bcc-csm1-1","tas","temperature","tgav","rcp85",2073,"Simulated","C","global",17.3958
"bcc-csm1-1","tas","temperature","tgav","rcp85",2074,"Simulated","C","global",17.2765
"bcc-csm1-1","tas","temperature","tgav","rcp85",2075,"Simulated","C","global",17.3577
"bcc-csm1-1","tas","temperature","tgav","rcp85",2076,"Simulated","C","global",17.5382
"bcc-csm1-1","tas","temperature","tgav","rcp85",2077,"Simulated","C","global",17.5261
"bcc-csm1-1","tas","temperature","tgav","rcp85",2078,"Simulated","C","global",17.5057
"bcc-csm1-1","tas","temperature","tgav","rcp85",2079,"Simulated","C","global",17.6221
"bcc-csm1-1","tas","temperature","tgav","rcp85",2080,"Simulated","C","global",17.6297
"bcc-csm1-1","tas","temperature","tgav","rcp85",2081,"Simulated","C","global",17.7189
"bcc-csm1-1","tas","temperature","tgav","rcp85",2082,"Simulated","C","global",17.6915
"bcc-csm1-1","tas","temperature","tgav","rcp85",2083,"Simulated","C","global",17.7115
"bcc-csm1-1","tas","temperature","tgav","rcp85",2084,"Simulated","C","global",17.8155
"bcc-csm1-1","tas","temperature","tgav","rcp85",2085,"Simulated","C","global",17.8282
"bcc-csm1-1","tas","temperature","tgav","rcp85",2086,"Simulated","C","global",17.792
"bcc-csm1-1","tas","temperature","tgav","rcp85",2087,"Simulated","C","global",17.9318
"bcc-csm1-1","tas","temperature","tgav","rcp85",2088,"Simulated","C","global",18.0138
"bcc-csm1-1","tas","temperature","tgav","rcp85",2089,"Simulated","C","global",18.1653
"bcc-csm1-1","tas","temperature","tgav","rcp85",2090,"Simulated","C","global",18.1344
"bcc-csm1-1","tas","temperature","tgav","rcp85",2091,"Simulated","C","global",18.2759
"bcc-csm1-1","tas","temperature","tgav","rcp85",2092,"Simulated","C","global",18.2706
"bcc-csm1-1","tas","temperature","tgav","rcp85",2093,"Simulated","C","global",18.257
"bcc-csm1-1","tas","temperature","tgav","rcp85",2094,"Simulated","C","global",18.3092
"bcc-csm1-1","tas","temperature","tgav","rcp85",2095,"Simulated","C","global",18.3495
"bcc-csm1-1","tas","temperature","tgav","rcp85",2096,"Simulated","C","global",18.2697
"bcc-csm1-1","tas","temperature","tgav","rcp85",2097,"Simulated","C","global",18.3833
"bcc-csm1-1","tas","temperature","tgav","rcp85",2098,"Simulated","C","global",18.5188
"bcc-csm1-1","tas","temperature","tgav","rcp85",2099,"Simulated","C","global",18.5321
"bcc-csm1-1","tas","temperature","tgav","rcp85",2100,"Simulated","C","global",18.589
"bcc-csm1-1","tas","temperature","tgav","rcp85",2101,"Simulated","C","global",18.6089
"bcc-csm1-1","tas","temperature","tgav","rcp85",2102,"Simulated","C","global",18.6156
"bcc-csm1-1","tas","temperature","tgav","rcp85",2103,"Simulated","C","global",18.6417
"bcc-csm1-1","tas","temperature","tgav","rcp85",2104,"Simulated","C","global",18.7654
"bcc-csm1-1","tas","temperature","tgav","rcp85",2105,"Simulated","C","global",18.7822
"bcc-csm1-1","tas","temperature","tgav","rcp85",2106,"Simulated","C","global",19.0244
"bcc-csm1-1","tas","temperature","tgav","rcp85",2107,"Simulated","C","global",18.9105
"bcc-csm1-1","tas","temperature","tgav","rcp85",2108,"Simulated","C","global",18.8981
"bcc-csm1-1","tas","temperature","tgav","rcp85",2109,"Simulated","C","global",18.9069
"bcc-csm1-1","tas","temperature","tgav","rcp85",2110,"Simulated","C","global",18.9531
"bcc-csm1-1","tas","temperature","tgav","rcp85",2111,"Simulated","C","global",19.0633
"bcc-csm1-1","tas","temperature","tgav","rcp85",2112,"Simulated","C","global",19.0842
"bcc-csm1-1","tas","temperature","tgav","rcp85",2113,"Simulated","C","global",18.9325
"bcc-csm1-1","tas","temperature","tgav","rcp85",2114,"Simulated","C","global",19.1039
"bcc-csm1-1","tas","temperature","tgav","rcp85",2115,"Simulated","C","global",19.1134
"bcc-csm1-1","tas","temperature","tgav","rcp85",2116,"Simulated","C","global",19.0757
"bcc-csm1-1","tas","temperature","tgav","rcp85",2117,"Simulated","C","global",19.1734
"bcc-csm1-1","tas","temperature","tgav","rcp85",2118,"Simulated","C","global",19.2993
"bcc-csm1-1","tas","temperature","tgav","rcp85",2119,"Simulated","C","global",19.3234
"bcc-csm1-1","tas","temperature","tgav","rcp85",2120,"Simulated","C","global",19.3824
"bcc-csm1-1","tas","temperature","tgav","rcp85",2121,"Simulated","C","global",19.4218
"bcc-csm1-1","tas","temperature","tgav","rcp85",2122,"Simulated","C","global",19.476
"bcc-csm1-1","tas","temperature","tgav","rcp85",2123,"Simulated","C","global",19.436
"bcc-csm1-1","tas","temperature","tgav","rcp85",2124,"Simulated","C","global",19.5427
