# Atmospheric CO2 record,,,,,,,,,,
# Observed data set for Hector backend,,,,,,,,,,
# from ???,,,,,,,,,,
# Changes from original: added component, variable, type, value and units,,,,,,,
year,CO2,EFOSS,component,vtag,value,units,type,scenario,model,ctag
1764,277.951,0.003,carbon_cycle,atmos_CO2,277.951,ppmv CO2,Observed,historical,Marland,carbon_cycle
1765,277.98,0.003,carbon_cycle,atmos_CO2,277.98,ppmv CO2,Observed,historical,Marland,carbon_cycle
1766,278.011,0.003,carbon_cycle,atmos_CO2,278.011,ppmv CO2,Observed,historical,Marland,carbon_cycle
1767,278.045,0.003,carbon_cycle,atmos_CO2,278.045,ppmv CO2,Observed,historical,Marland,carbon_cycle
1768,278.082,0.003,carbon_cycle,atmos_CO2,278.082,ppmv CO2,Observed,historical,Marland,carbon_cycle
1769,278.121,0.003,carbon_cycle,atmos_CO2,278.121,ppmv CO2,Observed,historical,Marland,carbon_cycle
1770,278.164,0.003,carbon_cycle,atmos_CO2,278.164,ppmv CO2,Observed,historical,Marland,carbon_cycle
1771,278.21,0.004,carbon_cycle,atmos_CO2,278.21,ppmv CO2,Observed,historical,Marland,carbon_cycle
1772,278.258,0.004,carbon_cycle,atmos_CO2,278.258,ppmv CO2,Observed,historical,Marland,carbon_cycle
1773,278.31,0.004,carbon_cycle,atmos_CO2,278.31,ppmv CO2,Observed,historical,Marland,carbon_cycle
1774,278.364,0.004,carbon_cycle,atmos_CO2,278.364,ppmv CO2,Observed,historical,Marland,carbon_cycle
1775,278.422,0.004,carbon_cycle,atmos_CO2,278.422,ppmv CO2,Observed,historical,Marland,carbon_cycle
1776,278.483,0.004,carbon_cycle,atmos_CO2,278.483,ppmv CO2,Observed,historical,Marland,carbon_cycle
1777,278.546,0.004,carbon_cycle,atmos_CO2,278.546,ppmv CO2,Observed,historical,Marland,carbon_cycle
1778,278.613,0.004,carbon_cycle,atmos_CO2,278.613,ppmv CO2,Observed,historical,Marland,carbon_cycle
1779,278.683,0.004,carbon_cycle,atmos_CO2,278.683,ppmv CO2,Observed,historical,Marland,carbon_cycle
1780,278.756,0.004,carbon_cycle,atmos_CO2,278.756,ppmv CO2,Observed,historical,Marland,carbon_cycle
1781,278.833,0.005,carbon_cycle,atmos_CO2,278.833,ppmv CO2,Observed,historical,Marland,carbon_cycle
1782,278.912,0.005,carbon_cycle,atmos_CO2,278.912,ppmv CO2,Observed,historical,Marland,carbon_cycle
1783,278.995,0.005,carbon_cycle,atmos_CO2,278.995,ppmv CO2,Observed,historical,Marland,carbon_cycle
1784,279.081,0.005,carbon_cycle,atmos_CO2,279.081,ppmv CO2,Observed,historical,Marland,carbon_cycle
1785,279.171,0.005,carbon_cycle,atmos_CO2,279.171,ppmv CO2,Observed,historical,Marland,carbon_cycle
1786,279.263,0.005,carbon_cycle,atmos_CO2,279.263,ppmv CO2,Observed,historical,Marland,carbon_cycle
1787,279.359,0.005,carbon_cycle,atmos_CO2,279.359,ppmv CO2,Observed,historical,Marland,carbon_cycle
1788,279.459,0.005,carbon_cycle,atmos_CO2,279.459,ppmv CO2,Observed,historical,Marland,carbon_cycle
1789,279.561,0.005,carbon_cycle,atmos_CO2,279.561,ppmv CO2,Observed,historical,Marland,carbon_cycle
1790,279.668,0.005,carbon_cycle,atmos_CO2,279.668,ppmv CO2,Observed,historical,Marland,carbon_cycle
1791,279.777,0.006,carbon_cycle,atmos_CO2,279.777,ppmv CO2,Observed,historical,Marland,carbon_cycle
1792,279.89,0.006,carbon_cycle,atmos_CO2,279.89,ppmv CO2,Observed,historical,Marland,carbon_cycle
1793,280.007,0.006,carbon_cycle,atmos_CO2,280.007,ppmv CO2,Observed,historical,Marland,carbon_cycle
1794,280.127,0.006,carbon_cycle,atmos_CO2,280.127,ppmv CO2,Observed,historical,Marland,carbon_cycle
1795,280.25,0.006,carbon_cycle,atmos_CO2,280.25,ppmv CO2,Observed,historical,Marland,carbon_cycle
1796,280.377,0.006,carbon_cycle,atmos_CO2,280.377,ppmv CO2,Observed,historical,Marland,carbon_cycle
1797,280.507,0.007,carbon_cycle,atmos_CO2,280.507,ppmv CO2,Observed,historical,Marland,carbon_cycle
1798,280.64,0.007,carbon_cycle,atmos_CO2,280.64,ppmv CO2,Observed,historical,Marland,carbon_cycle
1799,280.776,0.007,carbon_cycle,atmos_CO2,280.776,ppmv CO2,Observed,historical,Marland,carbon_cycle
1800,280.914,0.008,carbon_cycle,atmos_CO2,280.914,ppmv CO2,Observed,historical,Marland,carbon_cycle
1801,281.054,0.008,carbon_cycle,atmos_CO2,281.054,ppmv CO2,Observed,historical,Marland,carbon_cycle
1802,281.195,0.01,carbon_cycle,atmos_CO2,281.195,ppmv CO2,Observed,historical,Marland,carbon_cycle
1803,281.337,0.009,carbon_cycle,atmos_CO2,281.337,ppmv CO2,Observed,historical,Marland,carbon_cycle
1804,281.479,0.009,carbon_cycle,atmos_CO2,281.479,ppmv CO2,Observed,historical,Marland,carbon_cycle
1805,281.622,0.009,carbon_cycle,atmos_CO2,281.622,ppmv CO2,Observed,historical,Marland,carbon_cycle
1806,281.764,0.01,carbon_cycle,atmos_CO2,281.764,ppmv CO2,Observed,historical,Marland,carbon_cycle
1807,281.906,0.01,carbon_cycle,atmos_CO2,281.906,ppmv CO2,Observed,historical,Marland,carbon_cycle
1808,282.047,0.01,carbon_cycle,atmos_CO2,282.047,ppmv CO2,Observed,historical,Marland,carbon_cycle
1809,282.185,0.01,carbon_cycle,atmos_CO2,282.185,ppmv CO2,Observed,historical,Marland,carbon_cycle
1810,282.322,0.01,carbon_cycle,atmos_CO2,282.322,ppmv CO2,Observed,historical,Marland,carbon_cycle
1811,282.457,0.011,carbon_cycle,atmos_CO2,282.457,ppmv CO2,Observed,historical,Marland,carbon_cycle
1812,282.588,0.011,carbon_cycle,atmos_CO2,282.588,ppmv CO2,Observed,historical,Marland,carbon_cycle
1813,282.717,0.011,carbon_cycle,atmos_CO2,282.717,ppmv CO2,Observed,historical,Marland,carbon_cycle
1814,282.841,0.011,carbon_cycle,atmos_CO2,282.841,ppmv CO2,Observed,historical,Marland,carbon_cycle
1815,282.962,0.012,carbon_cycle,atmos_CO2,282.962,ppmv CO2,Observed,historical,Marland,carbon_cycle
1816,283.078,0.013,carbon_cycle,atmos_CO2,283.078,ppmv CO2,Observed,historical,Marland,carbon_cycle
1817,283.19,0.014,carbon_cycle,atmos_CO2,283.19,ppmv CO2,Observed,historical,Marland,carbon_cycle
1818,283.297,0.014,carbon_cycle,atmos_CO2,283.297,ppmv CO2,Observed,historical,Marland,carbon_cycle
1819,283.401,0.014,carbon_cycle,atmos_CO2,283.401,ppmv CO2,Observed,historical,Marland,carbon_cycle
1820,283.502,0.014,carbon_cycle,atmos_CO2,283.502,ppmv CO2,Observed,historical,Marland,carbon_cycle
1821,283.6,0.014,carbon_cycle,atmos_CO2,283.6,ppmv CO2,Observed,historical,Marland,carbon_cycle
1822,283.696,0.015,carbon_cycle,atmos_CO2,283.696,ppmv CO2,Observed,historical,Marland,carbon_cycle
1823,283.79,0.016,carbon_cycle,atmos_CO2,283.79,ppmv CO2,Observed,historical,Marland,carbon_cycle
1824,283.883,0.016,carbon_cycle,atmos_CO2,283.883,ppmv CO2,Observed,historical,Marland,carbon_cycle
1825,283.974,0.017,carbon_cycle,atmos_CO2,283.974,ppmv CO2,Observed,historical,Marland,carbon_cycle
1826,284.066,0.017,carbon_cycle,atmos_CO2,284.066,ppmv CO2,Observed,historical,Marland,carbon_cycle
1827,284.157,0.018,carbon_cycle,atmos_CO2,284.157,ppmv CO2,Observed,historical,Marland,carbon_cycle
1828,284.249,0.018,carbon_cycle,atmos_CO2,284.249,ppmv CO2,Observed,historical,Marland,carbon_cycle
1829,284.343,0.018,carbon_cycle,atmos_CO2,284.343,ppmv CO2,Observed,historical,Marland,carbon_cycle
