# All values in PgC/yr for the globe. For values in billion tonnes of CO2 multiply the numbers below by 3.67.,,,,,,,
# Global Carbon Project (GCP) www.tyndall.ac.uk/global-carbon-budget-2010 http://www.globalcarbonproject.org/carbonbudget,,,,,,,
# LeQuere et al. 2009,,,,,,,
#updated from 2009 to 2012 reference on 6/18/14,,,,,,,
Year,value,ctag,vtag,units,type,model,scenario
1959,1.03,ocean,fgco2,PgC/yr,Observed,GCP,historical
1960,1,ocean,fgco2,PgC/yr,Observed,GCP,historical
1961,0.92,ocean,fgco2,PgC/yr,Observed,GCP,historical
1962,0.92,ocean,fgco2,PgC/yr,Observed,GCP,historical
1963,1.07,ocean,fgco2,PgC/yr,Observed,GCP,historical
1964,1.34,ocean,fgco2,PgC/yr,Observed,GCP,historical
1965,1.49,ocean,fgco2,PgC/yr,Observed,GCP,historical
1966,1.47,ocean,fgco2,PgC/yr,Observed,GCP,historical
1967,1.26,ocean,fgco2,PgC/yr,Observed,GCP,historical
1968,1.23,ocean,fgco2,PgC/yr,Observed,GCP,historical
1969,1.31,ocean,fgco2,PgC/yr,Observed,GCP,historical
1970,1.24,ocean,fgco2,PgC/yr,Observed,GCP,historical
1971,1.36,ocean,fgco2,PgC/yr,Observed,GCP,historical
1972,1.6,ocean,fgco2,PgC/yr,Observed,GCP,historical
1973,1.55,ocean,fgco2,PgC/yr,Observed,GCP,historical
1974,1.45,ocean,fgco2,PgC/yr,Observed,GCP,historical
1975,1.58,ocean,fgco2,PgC/yr,Observed,GCP,historical
1976,1.6,ocean,fgco2,PgC/yr,Observed,GCP,historical
1977,1.7,ocean,fgco2,PgC/yr,Observed,GCP,historical
1978,1.72,ocean,fgco2,PgC/yr,Observed,GCP,historical
1979,1.41,ocean,fgco2,PgC/yr,Observed,GCP,historical
1980,1.85,ocean,fgco2,PgC/yr,Observed,GCP,historical
1981,1.82,ocean,fgco2,PgC/yr,Observed,GCP,historical
1982,1.87,ocean,fgco2,PgC/yr,Observed,GCP,historical
1983,2.09,ocean,fgco2,PgC/yr,Observed,GCP,historical
1984,1.96,ocean,fgco2,PgC/yr,Observed,GCP,historical
1985,1.91,ocean,fgco2,PgC/yr,Observed,GCP,historical
1986,1.94,ocean,fgco2,PgC/yr,Observed,GCP,historical
1987,1.93,ocean,fgco2,PgC/yr,Observed,GCP,historical
1988,1.93,ocean,fgco2,PgC/yr,Observed,GCP,historical
1989,1.86,ocean,fgco2,PgC/yr,Observed,GCP,historical
1990,2.03,ocean,fgco2,PgC/yr,Observed,GCP,historical
1991,2.16,ocean,fgco2,PgC/yr,Observed,GCP,historical
1992,2.4,ocean,fgco2,PgC/yr,Observed,GCP,historical
1993,2.35,ocean,fgco2,PgC/yr,Observed,GCP,historical
1994,2.22,ocean,fgco2,PgC/yr,Observed,GCP,historical
1995,2.09,ocean,fgco2,PgC/yr,Observed,GCP,historical
1996,2.07,ocean,fgco2,PgC/yr,Observed,GCP,historical
1997,2.17,ocean,fgco2,PgC/yr,Observed,GCP,historical
1998,2.34,ocean,fgco2,PgC/yr,Observed,GCP,historical
1999,2.18,ocean,fgco2,PgC/yr,Observed,GCP,historical
2000,2.1,ocean,fgco2,PgC/yr,Observed,GCP,historical
2001,1.96,ocean,fgco2,PgC/yr,Observed,GCP,historical
2002,2.43,ocean,fgco2,PgC/yr,Observed,GCP,historical
2003,2.38,ocean,fgco2,PgC/yr,Observed,GCP,historical
2004,2.31,ocean,fgco2,PgC/yr,Observed,GCP,historical
2005,2.43,ocean,fgco2,PgC/yr,Observed,GCP,historical
2006,2.48,ocean,fgco2,PgC/yr,Observed,GCP,historical
2007,2.56,ocean,fgco2,PgC/yr,Observed,GCP,historical
2008,2.36,ocean,fgco2,PgC/yr,Observed,GCP,historical
2009,2.55,ocean,fgco2,PgC/yr,Observed,GCP,historical
2010,2.54,ocean,fgco2,PgC/yr,Observed,GCP,historical
2011,2.69,ocean,fgco2,PgC/yr,Observed,GCP,historical
