year,variable,ctag,vtag,scenario,units,type,latbox,error,error_min,error_max,meanvalue,value,nmodels,model
2006,fgco2,ocean,fgco2,rcp85,PgC/yr,Simulated,global,1.914687648,2.348781066,7.454472535,4.187024493,3.870870956,1,CMIP5
2006,fgco2,ocean,fgco2_HL,rcp85,PgC/yr,Simulated,HL,0.758377668,-0.424690383,2.157846175,0.982495042,0.945700707,1,CMIP5
2006,fgco2,ocean,fgco2_LL,rcp85,PgC/yr,Simulated,LL,2.107425265,1.403079913,7.879162765,3.207182413,2.154412209,1,CMIP5
2007,fgco2,ocean,fgco2,rcp85,PgC/yr,Simulated,global,1.948941697,2.129617016,7.859856475,4.045661382,3.420753195,1,CMIP5
2007,fgco2,ocean,fgco2_HL,rcp85,PgC/yr,Simulated,HL,0.798052613,-0.655721802,2.01717629,0.926224855,0.857431327,1,CMIP5
2007,fgco2,ocean,fgco2_LL,rcp85,PgC/yr,Simulated,LL,2.050944078,1.364164664,7.221252209,3.122134999,2.260916598,1,CMIP5
2008,fgco2,ocean,fgco2,rcp85,PgC/yr,Simulated,global,2.097044657,2.217651067,8.283488055,4.255965888,3.847863354,1,CMIP5
2008,fgco2,ocean,fgco2_HL,rcp85,PgC/yr,Simulated,HL,0.780409683,-0.587241998,1.888056941,0.923198476,0.891291402,1,CMIP5
2008,fgco2,ocean,fgco2_LL,rcp85,PgC/yr,Simulated,LL,2.250184052,1.405043719,7.70948536,3.33552323,2.218768753,1,CMIP5
2009,fgco2,ocean,fgco2,rcp85,PgC/yr,Simulated,global,2.001803539,2.339078792,7.968659942,4.250407233,3.821166698,1,CMIP5
2009,fgco2,ocean,fgco2_HL,rcp85,PgC/yr,Simulated,HL,0.821563638,-0.619480755,2.179050181,0.993648558,0.903577464,1,CMIP5
2009,fgco2,ocean,fgco2_LL,rcp85,PgC/yr,Simulated,LL,2.151678827,1.435501557,7.734483418,3.259658725,2.193470872,1,CMIP5
2010,fgco2,ocean,fgco2,rcp85,PgC/yr,Simulated,global,2.189521607,2.363672928,8.886426627,4.405990033,3.899934004,1,CMIP5
2010,fgco2,ocean,fgco2_HL,rcp85,PgC/yr,Simulated,HL,0.784443096,-0.541133262,2.075631384,1.013554441,0.94322094,1,CMIP5
2010,fgco2,ocean,fgco2_LL,rcp85,PgC/yr,Simulated,LL,2.271972805,1.440388367,7.615604151,3.395287329,2.349505,1,CMIP5
2011,fgco2,ocean,fgco2,rcp85,PgC/yr,Simulated,global,2.359235673,2.38358209,8.920180827,4.616804306,4.104330576,1,CMIP5
2011,fgco2,ocean,fgco2_HL,rcp85,PgC/yr,Simulated,HL,0.786477462,-0.455551798,2.117319459,1.016417283,0.943805054,1,CMIP5
2011,fgco2,ocean,fgco2_LL,rcp85,PgC/yr,Simulated,LL,2.483281577,1.439777244,8.567266215,3.603143895,2.467857816,1,CMIP5
2012,fgco2,ocean,fgco2,rcp85,PgC/yr,Simulated,global,2.46081664,2.376021931,9.465688311,4.571541407,3.887179812,1,CMIP5
2012,fgco2,ocean,fgco2_HL,rcp85,PgC/yr,Simulated,HL,0.806797961,-0.489347853,2.193988452,1.007963052,0.94423007,1,CMIP5
2012,fgco2,ocean,fgco2_LL,rcp85,PgC/yr,Simulated,LL,2.506153434,1.487798708,8.362256648,3.566318663,2.348359948,1,CMIP5
2013,fgco2,ocean,fgco2,rcp85,PgC/yr,Simulated,global,2.238151508,2.254146852,8.777287706,4.518230091,4.030393646,1,CMIP5
2013,fgco2,ocean,fgco2_HL,rcp85,PgC/yr,Simulated,HL,0.827045249,-0.507866957,2.163195785,1.013210348,0.979842667,1,CMIP5
2013,fgco2,ocean,fgco2_LL,rcp85,PgC/yr,Simulated,LL,2.325073617,1.463860127,8.120544144,3.507840915,2.430259487,1,CMIP5
2014,fgco2,ocean,fgco2,rcp85,PgC/yr,Simulated,global,2.222911277,2.464997845,8.775401633,4.644150595,4.255260524,1,CMIP5
2014,fgco2,ocean,fgco2_HL,rcp85,PgC/yr,Simulated,HL,0.828465117,-0.539356046,2.243376884,1.036581844,1.009688012,1,CMIP5
2014,fgco2,ocean,fgco2_LL,rcp85,PgC/yr,Simulated,LL,2.348451489,1.563342446,8.370207636,3.610276854,2.522747088,1,CMIP5
2015,fgco2,ocean,fgco2,rcp85,PgC/yr,Simulated,global,2.370744898,2.497422092,9.256605786,4.800392636,4.350582305,1,CMIP5
2015,fgco2,ocean,fgco2_HL,rcp85,PgC/yr,Simulated,HL,0.799783847,-0.468482001,2.187521274,1.075986821,0.998392855,1,CMIP5
2015,fgco2,ocean,fgco2_LL,rcp85,PgC/yr,Simulated,LL,2.497887062,1.603506512,8.677599759,3.727222972,2.488126164,1,CMIP5
2016,fgco2,ocean,fgco2,rcp85,PgC/yr,Simulated,global,2.347336665,2.599182066,9.043586811,4.852611773,4.270020339,1,CMIP5
2016,fgco2,ocean,fgco2_HL,rcp85,PgC/yr,Simulated,HL,0.754717308,-0.289010048,2.107110706,1.096278635,1.031006934,1,CMIP5
2016,fgco2,ocean,fgco2_LL,rcp85,PgC/yr,Simulated,LL,2.473894345,1.598812942,8.767665063,3.759182643,2.638211028,1,CMIP5
2017,fgco2,ocean,fgco2,rcp85,PgC/yr,Simulated,global,2.594169616,2.60964542,9.897652613,4.967426107,4.291442905,1,CMIP5
2017,fgco2,ocean,fgco2_HL,rcp85,PgC/yr,Simulated,HL,0.780020467,-0.21850106,2.28356903,1.102805603,1.021274527,1,CMIP5
2017,fgco2,ocean,fgco2_LL,rcp85,PgC/yr,Simulated,LL,2.625028632,1.58837071,8.935983261,3.86737319,2.621762595,1,CMIP5
2018,fgco2,ocean,fgco2,rcp85,PgC/yr,Simulated,global,2.390421954,2.638619233,9.079601386,4.991161242,4.580335998,1,CMIP5
2018,fgco2,ocean,fgco2_HL,rcp85,PgC/yr,Simulated,HL,0.726506813,-0.178373253,2.222798224,1.121998693,1.037176918,1,CMIP5
2018,fgco2,ocean,fgco2_LL,rcp85,PgC/yr,Simulated,LL,2.528686556,1.60144222,9.257975048,3.871819098,2.771308128,1,CMIP5
2019,fgco2,ocean,fgco2,rcp85,PgC/yr,Simulated,global,2.452804326,2.754193423,9.293199934,5.117873898,4.790756924,1,CMIP5
2019,fgco2,ocean,fgco2_HL,rcp85,PgC/yr,Simulated,HL,0.808539418,-0.100083086,2.567928683,1.180606388,1.086804688,1,CMIP5
2019,fgco2,ocean,fgco2_LL,rcp85,PgC/yr,Simulated,LL,2.494036899,1.667389154,9.148304893,3.940082944,2.857705068,1,CMIP5
2020,fgco2,ocean,fgco2,rcp85,PgC/yr,Simulated,global,2.845912008,2.74695986,11.21355638,5.340147066,4.720137737,1,CMIP5
