# MAGICC 6 RCP 3PD,,,,,,,
# global temperature change,,,,,,,
year,value,vtag,ctag,units,type,scenario,model
1922,5.10E-02,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1923,6.24E-02,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1924,7.54E-02,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1925,8.54E-02,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1926,9.91E-02,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1927,1.06E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1928,1.16E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1929,1.08E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1930,1.01E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1931,1.11E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1932,1.18E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1933,1.10E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1934,1.27E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1935,1.43E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1936,1.58E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1937,1.69E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1938,1.79E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1939,1.81E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1940,1.88E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1941,1.91E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1942,1.91E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1943,1.77E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1944,1.84E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1945,1.94E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1946,2.04E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1947,2.13E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1948,2.13E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1949,2.18E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1950,2.08E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1951,2.00E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1952,1.88E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1953,1.81E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1954,1.74E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1955,1.84E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1956,2.00E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1957,2.17E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1958,2.25E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1959,2.32E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1960,2.35E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1961,2.07E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1962,1.85E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1963,1.70E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1964,3.35E-02,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1965,-2.27E-02,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1966,2.12E-02,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1967,8.13E-02,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1968,1.13E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1969,7.14E-02,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1970,9.57E-02,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1971,1.53E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1972,1.99E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1973,2.24E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1974,2.28E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1975,2.15E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1976,1.95E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1977,2.47E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1978,3.03E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1979,3.22E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1980,3.58E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1981,3.81E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1982,3.92E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1983,1.52E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1984,1.62E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1985,2.57E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1986,3.15E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1987,3.55E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1988,4.06E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1989,4.53E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1990,4.90E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1991,5.11E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1992,2.23E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1993,1.78E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1994,3.00E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1995,3.93E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1996,4.57E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1997,5.05E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1998,5.54E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
1999,6.03E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2000,6.43E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2001,6.76E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2002,7.03E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2003,7.22E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2004,7.38E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2005,7.55E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2006,7.74E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2007,7.94E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2008,8.15E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2009,8.50E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2010,8.80E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2011,9.09E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2012,9.38E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2013,9.67E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2014,9.95E-01,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2015,1.02E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2016,1.05E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2017,1.08E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2018,1.10E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2019,1.13E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2020,1.16E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2021,1.18E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2022,1.20E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2023,1.23E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2024,1.25E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2025,1.27E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2026,1.29E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2027,1.31E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2028,1.33E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2029,1.35E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2030,1.37E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2031,1.39E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2032,1.41E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2033,1.42E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2034,1.44E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2035,1.46E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2036,1.47E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2037,1.48E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2038,1.50E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2039,1.51E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2040,1.52E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2041,1.53E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2042,1.54E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2043,1.55E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2044,1.56E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2045,1.56E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2046,1.57E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2047,1.58E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2048,1.58E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2049,1.59E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2050,1.59E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2051,1.59E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2052,1.60E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2053,1.60E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2054,1.60E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2055,1.60E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2056,1.60E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2057,1.60E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2058,1.60E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2059,1.60E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2060,1.60E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2061,1.60E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2062,1.60E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2063,1.60E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2064,1.60E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2065,1.60E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2066,1.59E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2067,1.59E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2068,1.59E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2069,1.59E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2070,1.59E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2071,1.59E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2072,1.59E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2073,1.59E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2074,1.59E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2075,1.59E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2076,1.59E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2077,1.59E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2078,1.59E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2079,1.59E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2080,1.58E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2081,1.58E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2082,1.58E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2083,1.58E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2084,1.58E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2085,1.58E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2086,1.58E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2087,1.58E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2088,1.58E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2089,1.58E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2090,1.57E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2091,1.57E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2092,1.57E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2093,1.57E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2094,1.57E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2095,1.57E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2096,1.57E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2097,1.57E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2098,1.56E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2099,1.56E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2100,1.56E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2101,1.56E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2102,1.56E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2103,1.56E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2104,1.55E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2105,1.55E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2106,1.55E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2107,1.55E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2108,1.54E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2109,1.54E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2110,1.54E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2111,1.54E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2112,1.53E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2113,1.53E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2114,1.53E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2115,1.52E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2116,1.52E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
2117,1.52E+00,Tgav,Temperature,C,Simulated,rcp26,MAGICC6
