year,variable,ctag,vtag,scenario,units,type,latbox,error,error_min,error_max,meanvalue,value,nmodels,model
2006,tas,temperature,tgav,rcp60,C,Simulated,global,0.583615899,13.429,15.0402,14.10010417,14.1246,1,CMIP5
2006,tas,temperature,tgav_HL,rcp60,C,Simulated,HL,1.214571182,-11.3482,-8.4007,-9.4675,-8.95795,1,CMIP5
2006,tas,temperature,tgav_LL,rcp60,C,Simulated,LL,0.678675206,18.3333,20.3882,19.27116667,19.1338,1,CMIP5
2007,tas,temperature,tgav,rcp60,C,Simulated,global,0.604453627,13.4088,15.0919,14.12916667,14.15125,1,CMIP5
2007,tas,temperature,tgav_HL,rcp60,C,Simulated,HL,1.181186032,-11.2931,-8.11375,-9.294891667,-9.00985,1,CMIP5
2007,tas,temperature,tgav_LL,rcp60,C,Simulated,LL,0.648642867,18.3872,20.332,19.26957917,19.1497,1,CMIP5
2008,tas,temperature,tgav,rcp60,C,Simulated,global,0.60638121,13.343,15.0668,14.168475,14.24295,1,CMIP5
2008,tas,temperature,tgav_HL,rcp60,C,Simulated,HL,1.052819134,-11.1168,-8.248375,-9.358395833,-8.9416,1,CMIP5
2008,tas,temperature,tgav_LL,rcp60,C,Simulated,LL,0.662122572,18.3063,20.3206,19.33217083,19.2645,1,CMIP5
2009,tas,temperature,tgav,rcp60,C,Simulated,global,0.66221332,13.4265,15.2343,14.19437917,14.2399,1,CMIP5
2009,tas,temperature,tgav_HL,rcp60,C,Simulated,HL,1.296633673,-11.6551,-8.03935,-9.300691667,-8.78015,1,CMIP5
2009,tas,temperature,tgav_LL,rcp60,C,Simulated,LL,0.699686025,18.3548,20.4775,19.35117083,19.23775,1,CMIP5
2010,tas,temperature,tgav,rcp60,C,Simulated,global,0.601514707,13.473,15.0462,14.19630417,14.3091625,1,CMIP5
2010,tas,temperature,tgav_HL,rcp60,C,Simulated,HL,1.404406407,-11.7083,-8.03345,-9.387775,-8.8292,1,CMIP5
2010,tas,temperature,tgav_LL,rcp60,C,Simulated,LL,0.619895622,18.4732,20.3661,19.37169583,19.3015,1,CMIP5
2011,tas,temperature,tgav,rcp60,C,Simulated,global,0.586401318,13.428,15.0553,14.1842375,14.24455,1,CMIP5
2011,tas,temperature,tgav_HL,rcp60,C,Simulated,HL,1.152136198,-11.1071,-8.08415,-9.312675,-8.8774,1,CMIP5
2011,tas,temperature,tgav_LL,rcp60,C,Simulated,LL,0.641358557,18.3936,20.3536,19.34087917,19.23945,1,CMIP5
2012,tas,temperature,tgav,rcp60,C,Simulated,global,0.612721998,13.4774,15.1341,14.21599167,14.2211,1,CMIP5
2012,tas,temperature,tgav_HL,rcp60,C,Simulated,HL,1.219976432,-11.0317,-7.8978,-9.162083333,-8.70605,1,CMIP5
2012,tas,temperature,tgav_LL,rcp60,C,Simulated,LL,0.707231893,18.3225,20.4354,19.34672083,19.21415,1,CMIP5
2013,tas,temperature,tgav,rcp60,C,Simulated,global,0.576398176,13.6046,15.1177,14.2346375,14.183,1,CMIP5
2013,tas,temperature,tgav_HL,rcp60,C,Simulated,HL,1.323416189,-11.1807,-7.957625,-9.221920833,-8.77475,1,CMIP5
2013,tas,temperature,tgav_LL,rcp60,C,Simulated,LL,0.676092588,18.5289,20.4711,19.3819625,19.1817,1,CMIP5
2014,tas,temperature,tgav,rcp60,C,Simulated,global,0.56189411,13.727,15.1742,14.31647917,14.27235,1,CMIP5
2014,tas,temperature,tgav_HL,rcp60,C,Simulated,HL,1.175919456,-10.9456,-7.922875,-9.087245833,-8.58205,1,CMIP5
2014,tas,temperature,tgav_LL,rcp60,C,Simulated,LL,0.639248549,18.6276,20.4545,19.4531375,19.28345,1,CMIP5
2015,tas,temperature,tgav,rcp60,C,Simulated,global,0.527783245,13.7234,15.1177,14.32074583,14.31145,1,CMIP5
2015,tas,temperature,tgav_HL,rcp60,C,Simulated,HL,1.150226252,-10.5445,-7.83215,-9.104758333,-8.64745,1,CMIP5
2015,tas,temperature,tgav_LL,rcp60,C,Simulated,LL,0.628914071,18.6502,20.4711,19.46052917,19.3027,1,CMIP5
2016,tas,temperature,tgav,rcp60,C,Simulated,global,0.565507877,13.6729,15.1216,14.36175833,14.4918,1,CMIP5
2016,tas,temperature,tgav_HL,rcp60,C,Simulated,HL,1.243760594,-10.9205,-7.81625,-9.046741667,-8.54135,1,CMIP5
2016,tas,temperature,tgav_LL,rcp60,C,Simulated,LL,0.584684789,18.7164,20.4192,19.49839583,19.4525,1,CMIP5
2017,tas,temperature,tgav,rcp60,C,Simulated,global,0.567920999,13.6876,15.0605,14.36442083,14.3913625,1,CMIP5
2017,tas,temperature,tgav_HL,rcp60,C,Simulated,HL,1.444094466,-11.0165,-7.5822,-9.000383333,-8.4231,1,CMIP5
2017,tas,temperature,tgav_LL,rcp60,C,Simulated,LL,0.586288137,18.7042,20.4171,19.4911125,19.4437,1,CMIP5
2018,tas,temperature,tgav,rcp60,C,Simulated,global,0.478826641,13.917,15.1017,14.41189167,14.379175,1,CMIP5
2018,tas,temperature,tgav_HL,rcp60,C,Simulated,HL,1.2050055,-10.5568,-7.8701,-8.896504167,-8.39515,1,CMIP5
2018,tas,temperature,tgav_LL,rcp60,C,Simulated,LL,0.552481704,18.7479,20.397,19.52691667,19.4566,1,CMIP5
2019,tas,temperature,tgav,rcp60,C,Simulated,global,0.551224936,13.7787,15.2313,14.3854125,14.40595,1,CMIP5
2019,tas,temperature,tgav_HL,rcp60,C,Simulated,HL,1.175791704,-10.8983,-7.876925,-9.005654167,-8.515,1,CMIP5
2019,tas,temperature,tgav_LL,rcp60,C,Simulated,LL,0.600741034,18.6804,20.494,19.51927083,19.38885,1,CMIP5
2020,tas,temperature,tgav,rcp60,C,Simulated,global,0.551139516,13.7844,15.1272,14.396825,14.459275,1,CMIP5
2020,tas,temperature,tgav_HL,rcp60,C,Simulated,HL,1.37411,-11.1693,-7.71065,-8.935158333,-8.3178,1,CMIP5
2020,tas,temperature,tgav_LL,rcp60,C,Simulated,LL,0.578829218,18.6508,20.3879,19.5174875,19.4511,1,CMIP5
2021,tas,temperature,tgav,rcp60,C,Simulated,global,0.57131242,13.6861,15.1522,14.43159583,14.5735875,1,CMIP5
2021,tas,temperature,tgav_HL,rcp60,C,Simulated,HL,1.412970677,-11.1491,-7.80555,-8.944491667,-8.23425,1,CMIP5
2021,tas,temperature,tgav_LL,rcp60,C,Simulated,LL,0.586814675,18.7699,20.4631,19.56167083,19.50495,1,CMIP5
