"model","variable","ctag","vtag","scenario","year","type","units","latbox","value"
"CanESM2","nbp","carbon_cycle","nbp","historical",1850,"Simulated","PgC/yr","global",1.07853170632141
"CanESM2","nbp","carbon_cycle","nbp","historical",1851,"Simulated","PgC/yr","global",0.216924373328587
"CanESM2","nbp","carbon_cycle","nbp","historical",1852,"Simulated","PgC/yr","global",-1.17303525122983
"CanESM2","nbp","carbon_cycle","nbp","historical",1853,"Simulated","PgC/yr","global",0.288690543475905
"CanESM2","nbp","carbon_cycle","nbp","historical",1854,"Simulated","PgC/yr","global",-1.73540958352177
"CanESM2","nbp","carbon_cycle","nbp","historical",1855,"Simulated","PgC/yr","global",0.195862250236495
"CanESM2","nbp","carbon_cycle","nbp","historical",1856,"Simulated","PgC/yr","global",1.24733320052201
"CanESM2","nbp","carbon_cycle","nbp","historical",1857,"Simulated","PgC/yr","global",-0.0314606318511002
"CanESM2","nbp","carbon_cycle","nbp","historical",1858,"Simulated","PgC/yr","global",0.780971164672569
"CanESM2","nbp","carbon_cycle","nbp","historical",1859,"Simulated","PgC/yr","global",0.791066764574793
"CanESM2","nbp","carbon_cycle","nbp","historical",1860,"Simulated","PgC/yr","global",0.018782150809042
"CanESM2","nbp","carbon_cycle","nbp","historical",1861,"Simulated","PgC/yr","global",-0.73772144237282
"CanESM2","nbp","carbon_cycle","nbp","historical",1862,"Simulated","PgC/yr","global",-0.189123002724875
"CanESM2","nbp","carbon_cycle","nbp","historical",1863,"Simulated","PgC/yr","global",0.69335103451818
"CanESM2","nbp","carbon_cycle","nbp","historical",1864,"Simulated","PgC/yr","global",1.00329867272325
"CanESM2","nbp","carbon_cycle","nbp","historical",1865,"Simulated","PgC/yr","global",1.94744099914523
"CanESM2","nbp","carbon_cycle","nbp","historical",1866,"Simulated","PgC/yr","global",1.30312123733478
"CanESM2","nbp","carbon_cycle","nbp","historical",1867,"Simulated","PgC/yr","global",0.394092047679905
"CanESM2","nbp","carbon_cycle","nbp","historical",1868,"Simulated","PgC/yr","global",-0.6538443230192
"CanESM2","nbp","carbon_cycle","nbp","historical",1869,"Simulated","PgC/yr","global",-1.37195963171191
"CanESM2","nbp","carbon_cycle","nbp","historical",1870,"Simulated","PgC/yr","global",-1.34893029013356
"CanESM2","nbp","carbon_cycle","nbp","historical",1871,"Simulated","PgC/yr","global",1.74618771123711
"CanESM2","nbp","carbon_cycle","nbp","historical",1872,"Simulated","PgC/yr","global",-0.846774904551715
"CanESM2","nbp","carbon_cycle","nbp","historical",1873,"Simulated","PgC/yr","global",0.853470589812454
"CanESM2","nbp","carbon_cycle","nbp","historical",1874,"Simulated","PgC/yr","global",0.132715292893258
"CanESM2","nbp","carbon_cycle","nbp","historical",1875,"Simulated","PgC/yr","global",0.152122854776864
"CanESM2","nbp","carbon_cycle","nbp","historical",1876,"Simulated","PgC/yr","global",1.36267044821917
"CanESM2","nbp","carbon_cycle","nbp","historical",1877,"Simulated","PgC/yr","global",-0.135584578137515
"CanESM2","nbp","carbon_cycle","nbp","historical",1878,"Simulated","PgC/yr","global",-0.0183342382116779
"CanESM2","nbp","carbon_cycle","nbp","historical",1879,"Simulated","PgC/yr","global",1.17556910070766
"CanESM2","nbp","carbon_cycle","nbp","historical",1880,"Simulated","PgC/yr","global",-1.36962856869444
"CanESM2","nbp","carbon_cycle","nbp","historical",1881,"Simulated","PgC/yr","global",-1.35702947776337
"CanESM2","nbp","carbon_cycle","nbp","historical",1882,"Simulated","PgC/yr","global",1.24913779572064
"CanESM2","nbp","carbon_cycle","nbp","historical",1883,"Simulated","PgC/yr","global",0.386416597850325
"CanESM2","nbp","carbon_cycle","nbp","historical",1884,"Simulated","PgC/yr","global",0.615488661958704
"CanESM2","nbp","carbon_cycle","nbp","historical",1885,"Simulated","PgC/yr","global",-1.04469616286219
"CanESM2","nbp","carbon_cycle","nbp","historical",1886,"Simulated","PgC/yr","global",2.21553901673283
"CanESM2","nbp","carbon_cycle","nbp","historical",1887,"Simulated","PgC/yr","global",2.29924841820324
"CanESM2","nbp","carbon_cycle","nbp","historical",1888,"Simulated","PgC/yr","global",1.8299499729573
"CanESM2","nbp","carbon_cycle","nbp","historical",1889,"Simulated","PgC/yr","global",-0.543695756042931
"CanESM2","nbp","carbon_cycle","nbp","historical",1890,"Simulated","PgC/yr","global",0.0258036521072326
"CanESM2","nbp","carbon_cycle","nbp","historical",1891,"Simulated","PgC/yr","global",-0.390109888486753
"CanESM2","nbp","carbon_cycle","nbp","historical",1892,"Simulated","PgC/yr","global",1.60375668513012
"CanESM2","nbp","carbon_cycle","nbp","historical",1893,"Simulated","PgC/yr","global",1.35838999056108
"CanESM2","nbp","carbon_cycle","nbp","historical",1894,"Simulated","PgC/yr","global",1.02931894568367
"CanESM2","nbp","carbon_cycle","nbp","historical",1895,"Simulated","PgC/yr","global",-0.200485414760494
"CanESM2","nbp","carbon_cycle","nbp","historical",1896,"Simulated","PgC/yr","global",-0.368453732653394
"CanESM2","nbp","carbon_cycle","nbp","historical",1897,"Simulated","PgC/yr","global",-0.227451284556787
"CanESM2","nbp","carbon_cycle","nbp","historical",1898,"Simulated","PgC/yr","global",-0.899451253428238
"CanESM2","nbp","carbon_cycle","nbp","historical",1899,"Simulated","PgC/yr","global",0.863084170513057
"CanESM2","nbp","carbon_cycle","nbp","historical",1900,"Simulated","PgC/yr","global",0.0515697583158076
"CanESM2","nbp","carbon_cycle","nbp","historical",1901,"Simulated","PgC/yr","global",-0.0927873370020554
"CanESM2","nbp","carbon_cycle","nbp","historical",1902,"Simulated","PgC/yr","global",1.24718556985545
"CanESM2","nbp","carbon_cycle","nbp","historical",1903,"Simulated","PgC/yr","global",0.615007125352185
"CanESM2","nbp","carbon_cycle","nbp","historical",1904,"Simulated","PgC/yr","global",0.528402272331285
"CanESM2","nbp","carbon_cycle","nbp","historical",1905,"Simulated","PgC/yr","global",3.29516454414865
"CanESM2","nbp","carbon_cycle","nbp","historical",1906,"Simulated","PgC/yr","global",0.14808433812812
"CanESM2","nbp","carbon_cycle","nbp","historical",1907,"Simulated","PgC/yr","global",-0.99991911394301
"CanESM2","nbp","carbon_cycle","nbp","historical",1908,"Simulated","PgC/yr","global",-0.661391338206584
"CanESM2","nbp","carbon_cycle","nbp","historical",1909,"Simulated","PgC/yr","global",1.10332644833315
"CanESM2","nbp","carbon_cycle","nbp","historical",1910,"Simulated","PgC/yr","global",-0.0562554253396547
"CanESM2","nbp","carbon_cycle","nbp","historical",1911,"Simulated","PgC/yr","global",1.02397848397836
"CanESM2","nbp","carbon_cycle","nbp","historical",1912,"Simulated","PgC/yr","global",0.0451315857995986
"CanESM2","nbp","carbon_cycle","nbp","historical",1913,"Simulated","PgC/yr","global",-0.061830791817774
"CanESM2","nbp","carbon_cycle","nbp","historical",1914,"Simulated","PgC/yr","global",1.95587068076765
"CanESM2","nbp","carbon_cycle","nbp","historical",1915,"Simulated","PgC/yr","global",-0.164435013966205
"CanESM2","nbp","carbon_cycle","nbp","historical",1916,"Simulated","PgC/yr","global",0.0524948931195106
"CanESM2","nbp","carbon_cycle","nbp","historical",1917,"Simulated","PgC/yr","global",-1.24186106596139
"CanESM2","nbp","carbon_cycle","nbp","historical",1918,"Simulated","PgC/yr","global",0.3251111268837
"CanESM2","nbp","carbon_cycle","nbp","historical",1919,"Simulated","PgC/yr","global",-1.41081104663053
"CanESM2","nbp","carbon_cycle","nbp","historical",1920,"Simulated","PgC/yr","global",-0.317303864246235
"CanESM2","nbp","carbon_cycle","nbp","historical",1921,"Simulated","PgC/yr","global",0.425459056081911
"CanESM2","nbp","carbon_cycle","nbp","historical",1922,"Simulated","PgC/yr","global",-0.381164097144959
"CanESM2","nbp","carbon_cycle","nbp","historical",1923,"Simulated","PgC/yr","global",-0.7059459654795
"CanESM2","nbp","carbon_cycle","nbp","historical",1924,"Simulated","PgC/yr","global",0.662277801056396
"CanESM2","nbp","carbon_cycle","nbp","historical",1925,"Simulated","PgC/yr","global",0.667465376634521
"CanESM2","nbp","carbon_cycle","nbp","historical",1926,"Simulated","PgC/yr","global",0.452439146347102
"CanESM2","nbp","carbon_cycle","nbp","historical",1927,"Simulated","PgC/yr","global",0.761334659674264
"CanESM2","nbp","carbon_cycle","nbp","historical",1928,"Simulated","PgC/yr","global",-0.809673282941008
"CanESM2","nbp","carbon_cycle","nbp","historical",1929,"Simulated","PgC/yr","global",0.606119013776556
"CanESM2","nbp","carbon_cycle","nbp","historical",1930,"Simulated","PgC/yr","global",0.101217977380075
"CanESM2","nbp","carbon_cycle","nbp","historical",1931,"Simulated","PgC/yr","global",0.260493251853436
"CanESM2","nbp","carbon_cycle","nbp","historical",1932,"Simulated","PgC/yr","global",-1.21581618065096
"CanESM2","nbp","carbon_cycle","nbp","historical",1933,"Simulated","PgC/yr","global",0.60830600607064
"CanESM2","nbp","carbon_cycle","nbp","historical",1934,"Simulated","PgC/yr","global",0.889508539653201
"CanESM2","nbp","carbon_cycle","nbp","historical",1935,"Simulated","PgC/yr","global",0.298276619473201
"CanESM2","nbp","carbon_cycle","nbp","historical",1936,"Simulated","PgC/yr","global",-0.672692203280649
"CanESM2","nbp","carbon_cycle","nbp","historical",1937,"Simulated","PgC/yr","global",-0.401707288945005
"CanESM2","nbp","carbon_cycle","nbp","historical",1938,"Simulated","PgC/yr","global",-2.00602662848309
"CanESM2","nbp","carbon_cycle","nbp","historical",1939,"Simulated","PgC/yr","global",0.600959106984075
"CanESM2","nbp","carbon_cycle","nbp","historical",1940,"Simulated","PgC/yr","global",2.02095744519556
"CanESM2","nbp","carbon_cycle","nbp","historical",1941,"Simulated","PgC/yr","global",-1.3899242664242
"CanESM2","nbp","carbon_cycle","nbp","historical",1942,"Simulated","PgC/yr","global",-1.29345797829474
"CanESM2","nbp","carbon_cycle","nbp","historical",1943,"Simulated","PgC/yr","global",0.0615205764711988
"CanESM2","nbp","carbon_cycle","nbp","historical",1944,"Simulated","PgC/yr","global",1.36437271556179
"CanESM2","nbp","carbon_cycle","nbp","historical",1945,"Simulated","PgC/yr","global",-2.13195792121259
"CanESM2","nbp","carbon_cycle","nbp","historical",1946,"Simulated","PgC/yr","global",1.82085080324132
"CanESM2","nbp","carbon_cycle","nbp","historical",1947,"Simulated","PgC/yr","global",-0.266319525957836
"CanESM2","nbp","carbon_cycle","nbp","historical",1948,"Simulated","PgC/yr","global",-0.280809533872795
"CanESM2","nbp","carbon_cycle","nbp","historical",1949,"Simulated","PgC/yr","global",-0.695516538461183
"CanESM2","nbp","carbon_cycle","nbp","historical",1950,"Simulated","PgC/yr","global",-0.393923300260485
"CanESM2","nbp","carbon_cycle","nbp","historical",1951,"Simulated","PgC/yr","global",-0.802271174975183
"CanESM2","nbp","carbon_cycle","nbp","historical",1952,"Simulated","PgC/yr","global",-0.251102305140944
"CanESM2","nbp","carbon_cycle","nbp","historical",1953,"Simulated","PgC/yr","global",0.818625901394797
"CanESM2","nbp","carbon_cycle","nbp","historical",1954,"Simulated","PgC/yr","global",-1.01592435786154
"CanESM2","nbp","carbon_cycle","nbp","historical",1955,"Simulated","PgC/yr","global",-0.385322329551124
"CanESM2","nbp","carbon_cycle","nbp","historical",1956,"Simulated","PgC/yr","global",-0.00940359070407265
"CanESM2","nbp","carbon_cycle","nbp","historical",1957,"Simulated","PgC/yr","global",0.0675634103000719
"CanESM2","nbp","carbon_cycle","nbp","historical",1958,"Simulated","PgC/yr","global",1.27643504748453
"CanESM2","nbp","carbon_cycle","nbp","historical",1959,"Simulated","PgC/yr","global",-0.743886916485407
"CanESM2","nbp","carbon_cycle","nbp","historical",1960,"Simulated","PgC/yr","global",0.680522887866894
"CanESM2","nbp","carbon_cycle","nbp","historical",1961,"Simulated","PgC/yr","global",-1.35237463569711
"CanESM2","nbp","carbon_cycle","nbp","historical",1962,"Simulated","PgC/yr","global",0.555500739956824
"CanESM2","nbp","carbon_cycle","nbp","historical",1963,"Simulated","PgC/yr","global",1.58554949812135
"CanESM2","nbp","carbon_cycle","nbp","historical",1964,"Simulated","PgC/yr","global",-0.704118216976689
"CanESM2","nbp","carbon_cycle","nbp","historical",1965,"Simulated","PgC/yr","global",-0.272954105027206
"CanESM2","nbp","carbon_cycle","nbp","historical",1966,"Simulated","PgC/yr","global",0.447069375032818
"CanESM2","nbp","carbon_cycle","nbp","historical",1967,"Simulated","PgC/yr","global",1.25577804689107
"CanESM2","nbp","carbon_cycle","nbp","historical",1968,"Simulated","PgC/yr","global",-0.202683206567692
"CanESM2","nbp","carbon_cycle","nbp","historical",1969,"Simulated","PgC/yr","global",1.50337825592169
"CanESM2","nbp","carbon_cycle","nbp","historical",1970,"Simulated","PgC/yr","global",1.87282134069988
"CanESM2","nbp","carbon_cycle","nbp","historical",1971,"Simulated","PgC/yr","global",-0.145815208148278
"CanESM2","nbp","carbon_cycle","nbp","historical",1972,"Simulated","PgC/yr","global",0.800320429068286
"CanESM2","nbp","carbon_cycle","nbp","historical",1973,"Simulated","PgC/yr","global",-1.3209448416728
"CanESM2","nbp","carbon_cycle","nbp","historical",1974,"Simulated","PgC/yr","global",-1.46349515930396
"CanESM2","nbp","carbon_cycle","nbp","historical",1975,"Simulated","PgC/yr","global",1.18040129325529
"CanESM2","nbp","carbon_cycle","nbp","historical",1976,"Simulated","PgC/yr","global",0.664259738693158
"CanESM2","nbp","carbon_cycle","nbp","historical",1977,"Simulated","PgC/yr","global",-0.457667227740486
"CanESM2","nbp","carbon_cycle","nbp","historical",1978,"Simulated","PgC/yr","global",1.64412094238061
"CanESM2","nbp","carbon_cycle","nbp","historical",1979,"Simulated","PgC/yr","global",1.32076298375321
"CanESM2","nbp","carbon_cycle","nbp","historical",1980,"Simulated","PgC/yr","global",-1.28762279226752
"CanESM2","nbp","carbon_cycle","nbp","historical",1981,"Simulated","PgC/yr","global",-1.83546384716798
"CanESM2","nbp","carbon_cycle","nbp","historical",1982,"Simulated","PgC/yr","global",-0.881971884173928
"CanESM2","nbp","carbon_cycle","nbp","historical",1983,"Simulated","PgC/yr","global",1.82420873210925
"CanESM2","nbp","carbon_cycle","nbp","historical",1984,"Simulated","PgC/yr","global",2.11789143232142
"CanESM2","nbp","carbon_cycle","nbp","historical",1985,"Simulated","PgC/yr","global",0.550307659577279
"CanESM2","nbp","carbon_cycle","nbp","historical",1986,"Simulated","PgC/yr","global",-1.05479459398899
"CanESM2","nbp","carbon_cycle","nbp","historical",1987,"Simulated","PgC/yr","global",1.69419211100645
"CanESM2","nbp","carbon_cycle","nbp","historical",1988,"Simulated","PgC/yr","global",-0.862993188467797
"CanESM2","nbp","carbon_cycle","nbp","historical",1989,"Simulated","PgC/yr","global",-1.75586374296076
"CanESM2","nbp","carbon_cycle","nbp","historical",1990,"Simulated","PgC/yr","global",0.0399681078033914
"CanESM2","nbp","carbon_cycle","nbp","historical",1991,"Simulated","PgC/yr","global",-0.624283925454696
"CanESM2","nbp","carbon_cycle","nbp","historical",1992,"Simulated","PgC/yr","global",2.45906155456571
"CanESM2","nbp","carbon_cycle","nbp","historical",1993,"Simulated","PgC/yr","global",1.45074926571082
"CanESM2","nbp","carbon_cycle","nbp","historical",1994,"Simulated","PgC/yr","global",1.49379935450485
"CanESM2","nbp","carbon_cycle","nbp","historical",1995,"Simulated","PgC/yr","global",1.21439004778906
"CanESM2","nbp","carbon_cycle","nbp","historical",1996,"Simulated","PgC/yr","global",-1.04952335250731
"CanESM2","nbp","carbon_cycle","nbp","historical",1997,"Simulated","PgC/yr","global",-0.38529108956175
"CanESM2","nbp","carbon_cycle","nbp","historical",1998,"Simulated","PgC/yr","global",0.0969022323683809
"CanESM2","nbp","carbon_cycle","nbp","historical",1999,"Simulated","PgC/yr","global",-0.529820117426684
"CanESM2","nbp","carbon_cycle","nbp","historical",2000,"Simulated","PgC/yr","global",-1.44013458652072
"CanESM2","nbp","carbon_cycle","nbp","historical",2001,"Simulated","PgC/yr","global",1.87104687069594
"CanESM2","nbp","carbon_cycle","nbp","historical",2002,"Simulated","PgC/yr","global",1.84644233871629
"CanESM2","nbp","carbon_cycle","nbp","historical",2003,"Simulated","PgC/yr","global",-2.55544110426948
"CanESM2","nbp","carbon_cycle","nbp","historical",2004,"Simulated","PgC/yr","global",0.725809898243895
"CanESM2","nbp","carbon_cycle","nbp","historical",2005,"Simulated","PgC/yr","global",0.179535350250257
