var	date_param
AERO_SCALE	FALSE
ATMOSPHERIC_C	TRUE
ATMOSPHERIC_CH4	TRUE
ATMOSPHERIC_CO2	TRUE
ATMOSPHERIC_N2O	TRUE
ATMOSPHERIC_O3	TRUE
BETA	FALSE
DIFFUSIVITY	FALSE
ECS	FALSE
EMISSIONS_BC	TRUE
EMISSIONS_CH4	TRUE
EMISSIONS_OC	TRUE
EMISSIONS_SO2	TRUE
F_LITTERD	FALSE
F_LUCD	FALSE
F_LUCV	FALSE
F_NPPD	FALSE
F_NPPV	FALSE
FFI_EMISSIONS	TRUE
FLUX_INTERIOR	TRUE
FLUX_MIXED	TRUE
GLOBAL_TEMP	TRUE
GLOBAL_TEMPEQ	TRUE
HEAT_FLUX	TRUE
LAND_AIR_TEMP	TRUE
LAND_CFLUX	FALSE
LUC_EMISSIONS	TRUE
NATURAL_SO2	FALSE
NPP	FALSE
NPP_FLUX0	FALSE
OCEAN_AIR_TEMP	TRUE
OCEAN_C	FALSE
OCEAN_C_DO	FALSE
OCEAN_C_HL	FALSE
OCEAN_C_IO	FALSE
OCEAN_C_LL	FALSE
OCEAN_CFLUX	FALSE
OCEAN_SURFACE_TEMP	FALSE
PREINDUSTRIAL_CH4	FALSE
PREINDUSTRIAL_CO2	FALSE
PREINDUSTRIAL_N2O	FALSE
Q10_RH	FALSE
RF_BC	TRUE
RF_C2F6	TRUE
RF_CCL4	TRUE
RF_CF4	TRUE
RF_CFC11	TRUE
RF_CFC113	TRUE
RF_CFC114	TRUE
RF_CFC115	TRUE
RF_CFC12	TRUE
RF_CH3BR	TRUE
RF_CH3CCL3	TRUE
RF_CH3CL	TRUE
RF_CH4	TRUE
RF_CO2	TRUE
RF_H2O	TRUE
RF_HALON1211	TRUE
RF_HALON1301	TRUE
RF_HALON2402	TRUE
RF_HCF141B	TRUE
RF_HCF142B	TRUE
RF_HCF22	TRUE
RF_HFC125	TRUE
RF_HFC134A	TRUE
RF_HFC143A	TRUE
RF_HFC227EA	TRUE
RF_HFC23	TRUE
RF_HFC245FA	TRUE
RF_HFC32	TRUE
RF_HFC4310	TRUE
RF_N2O	TRUE
RF_O3	TRUE
RF_OC	TRUE
RF_SF6	TRUE
RF_SO2	TRUE
RF_SO2D	TRUE
RF_SO2I	TRUE
RF_T_ALBEDO	TRUE
RF_TOTAL	TRUE
RF_VOL	TRUE
VOLCANIC_SCALE	FALSE
VOLCANIC_SO2	TRUE
WARMINGFACTOR	FALSE
Y2000_SO2	FALSE
