#global avg surface temperature from CCSM4 email communication 7/3/2014,,,,,,,,,,,,
,K,value,units,ctag,vtag,model,scenario,type,,,,
2066,280.416,7.266,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2067,280.347,7.197,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2068,280.451,7.301,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2069,280.483,7.333,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2070,280.337,7.187,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2071,280.437,7.287,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2072,280.654,7.504,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2073,280.697,7.547,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2074,280.516,7.366,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2075,280.5,7.35,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2076,280.56,7.41,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2077,280.72,7.57,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2078,280.604,7.454,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2079,280.911,7.761,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2080,280.659,7.509,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2081,280.584,7.434,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2082,280.626,7.476,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2083,280.594,7.444,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2084,280.495,7.345,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2085,280.71,7.56,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2086,281.133,7.983,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2087,280.847,7.697,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2088,280.756,7.606,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2089,280.678,7.528,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2090,280.752,7.602,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2091,280.688,7.538,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2092,280.823,7.673,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2093,281.005,7.855,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2094,280.805,7.655,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2095,280.52,7.37,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2096,280.62,7.47,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2097,281.028,7.878,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2098,280.658,7.508,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2099,280.511,7.361,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2100,280.815,7.665,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
