#global avg surface temperature from CCSM4 email communication 7/3/2014,,,,,,,,,,,,
,K,value,units,ctag,vtag,model,scenario,type,,,,
2005,278.613,5.463,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2006,278.631,5.481,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2007,278.845,5.695,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2008,278.667,5.517,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2009,278.63,5.48,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2010,278.868,5.718,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2011,278.961,5.811,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2012,278.877,5.727,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2013,279.056,5.906,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2014,278.917,5.767,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2015,279.081,5.931,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2016,279.151,6.001,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2017,279.104,5.954,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2018,278.875,5.725,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2019,278.969,5.819,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2020,279.311,6.161,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2021,279.491,6.341,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2022,279.178,6.028,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2023,279.179,6.029,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2024,279.257,6.107,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2025,279.301,6.151,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2026,279.415,6.265,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2027,279.327,6.177,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2028,279.414,6.264,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2029,279.3,6.15,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2030,279.514,6.364,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2031,279.468,6.318,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2032,279.355,6.205,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2033,279.325,6.175,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2034,279.439,6.289,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2035,279.335,6.185,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2036,279.21,6.06,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2037,279.679,6.529,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2038,279.512,6.362,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2039,279.559,6.409,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2040,279.592,6.442,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2041,279.72,6.57,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2042,279.879,6.729,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2043,279.843,6.693,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2044,279.705,6.555,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2045,279.634,6.484,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2046,279.937,6.787,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2047,280.145,6.995,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2048,279.801,6.651,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2049,279.601,6.451,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2050,279.793,6.643,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2051,280.256,7.106,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2054,279.938,6.788,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2055,279.949,6.799,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2056,279.922,6.772,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2059,280.293,7.143,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2060,280.391,7.241,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2061,280.402,7.252,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2062,280.359,7.209,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2063,280.277,7.127,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2064,280.348,7.198,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
2065,280.325,7.175,degC,temperature,tgav,CCSM4,rcp45,Simulated,,,,
