# Global NPP data from Zhao and Running (2010), doi 10.1126/science.1192666
Year,value_npp,value_npp_tropics,units,type,ctag
2000,54.692,30.089,Pg C/yr,Observed,carbon_cycle
2001,53.841,28.85,Pg C/yr,Observed,carbon_cycle
2002,52.727,28.153,Pg C/yr,Observed,carbon_cycle
2003,53.465,28.423,Pg C/yr,Observed,carbon_cycle
2004,54.565,29.249,Pg C/yr,Observed,carbon_cycle
2005,51.672,26.419,Pg C/yr,Observed,carbon_cycle
2006,53.557,28.615,Pg C/yr,Observed,carbon_cycle
2007,53.123,27.89,Pg C/yr,Observed,carbon_cycle
2008,53.725,28.708,Pg C/yr,Observed,carbon_cycle
2009,53.841,29.09,Pg C/yr,Observed,carbon_cycle
