# Global NPP data from Potter et al. (2011), 10.1007/s10584-012-0460-2",,,,
Year,value_npp,units,type,ctag
2000,49.9,Pg C/yr,Observed,carbon_cycle
2001,50,Pg C/yr,Observed,carbon_cycle
2002,50.3,Pg C/yr,Observed,carbon_cycle
2003,50.3,Pg C/yr,Observed,carbon_cycle
2004,50.5,Pg C/yr,Observed,carbon_cycle
2005,50.9,Pg C/yr,Observed,carbon_cycle
2006,51.1,Pg C/yr,Observed,carbon_cycle
2007,51.2,Pg C/yr,Observed,carbon_cycle
2008,50.7,Pg C/yr,Observed,carbon_cycle
2009,50,Pg C/yr,Observed,carbon_cycle
