"model","variable","ctag","vtag","scenario","year","type","units","latbox","value"
"bcc-csm1-1","fgco2","ocean","fgco2","historical",1850,"Simulated","PgC/yr","global",0.437009890277368
"bcc-csm1-1","fgco2","ocean","fgco2","historical",1851,"Simulated","PgC/yr","global",0.50394295263464
"bcc-csm1-1","fgco2","ocean","fgco2","historical",1852,"Simulated","PgC/yr","global",0.550668266141747
"bcc-csm1-1","fgco2","ocean","fgco2","historical",1853,"Simulated","PgC/yr","global",0.562809221705423
"bcc-csm1-1","fgco2","ocean","fgco2","historical",1854,"Simulated","PgC/yr","global",0.626484821776531
"bcc-csm1-1","fgco2","ocean","fgco2","historical",1855,"Simulated","PgC/yr","global",0.527967784148981
"bcc-csm1-1","fgco2","ocean","fgco2","historical",1856,"Simulated","PgC/yr","global",0.477351807075592
"bcc-csm1-1","fgco2","ocean","fgco2","historical",1857,"Simulated","PgC/yr","global",0.811527557747509
"bcc-csm1-1","fgco2","ocean","fgco2","historical",1858,"Simulated","PgC/yr","global",0.601967281016331
"bcc-csm1-1","fgco2","ocean","fgco2","historical",1859,"Simulated","PgC/yr","global",0.559575237009489
"bcc-csm1-1","fgco2","ocean","fgco2","historical",1860,"Simulated","PgC/yr","global",0.553699329756677
"bcc-csm1-1","fgco2","ocean","fgco2","historical",1861,"Simulated","PgC/yr","global",0.644667041529658
"bcc-csm1-1","fgco2","ocean","fgco2","historical",1862,"Simulated","PgC/yr","global",0.604986765910625
"bcc-csm1-1","fgco2","ocean","fgco2","historical",1863,"Simulated","PgC/yr","global",0.650278399027112
"bcc-csm1-1","fgco2","ocean","fgco2","historical",1864,"Simulated","PgC/yr","global",0.67342591568111
"bcc-csm1-1","fgco2","ocean","fgco2","historical",1865,"Simulated","PgC/yr","global",0.592762891766912
"bcc-csm1-1","fgco2","ocean","fgco2","historical",1866,"Simulated","PgC/yr","global",0.521316476120684
"bcc-csm1-1","fgco2","ocean","fgco2","historical",1867,"Simulated","PgC/yr","global",0.534547378810758
"bcc-csm1-1","fgco2","ocean","fgco2","historical",1868,"Simulated","PgC/yr","global",0.48793774579369
"bcc-csm1-1","fgco2","ocean","fgco2","historical",1869,"Simulated","PgC/yr","global",0.566780242660081
"bcc-csm1-1","fgco2","ocean","fgco2","historical",1870,"Simulated","PgC/yr","global",0.528592821630678
"bcc-csm1-1","fgco2","ocean","fgco2","historical",1871,"Simulated","PgC/yr","global",0.620339242385039
"bcc-csm1-1","fgco2","ocean","fgco2","historical",1872,"Simulated","PgC/yr","global",0.707943522566866
"bcc-csm1-1","fgco2","ocean","fgco2","historical",1873,"Simulated","PgC/yr","global",0.625737487393003
"bcc-csm1-1","fgco2","ocean","fgco2","historical",1874,"Simulated","PgC/yr","global",0.728290803004416
"bcc-csm1-1","fgco2","ocean","fgco2","historical",1875,"Simulated","PgC/yr","global",0.691461187062664
