# MAGICC6 RCP8.5,,,,,,,
#Atmospheric CO2,,,,,,,
year,value,vtag,units,ctag,type,Scenario,model
1765,2.78E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1766,2.78E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1767,2.78E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1768,2.78E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1769,2.79E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1770,2.79E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1771,2.79E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1772,2.79E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1773,2.79E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1774,2.79E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1775,2.79E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1776,2.80E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1777,2.80E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1778,2.80E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1779,2.80E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1780,2.80E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1781,2.80E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1782,2.80E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1783,2.81E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1784,2.81E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1785,2.81E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1786,2.81E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1787,2.81E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1788,2.81E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1789,2.82E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1790,2.82E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1791,2.82E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
1792,2.82E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp85,MAGICC6
