# Output from hector version 1.0
run_name,Year,Ca,Ftot
rcp85,1746,287.762,0
rcp85,1747,287.426,0
rcp85,1748,287.168,0
rcp85,1749,286.932,0
rcp85,1750,286.709,0
rcp85,1751,286.497,-0.00453062
rcp85,1752,286.296,-0.00881463
rcp85,1753,286.105,-0.0128744
rcp85,1754,285.925,-0.0167337
rcp85,1755,285.753,-0.0204156
rcp85,1756,285.589,-0.0239241
rcp85,1757,285.435,-0.027257
rcp85,1758,285.288,-0.030422
rcp85,1759,285.15,-0.0334353
rcp85,1760,285.019,-0.0363096
rcp85,1761,284.894,-0.0390494
rcp85,1762,284.777,-0.0416569
rcp85,1763,284.666,-0.0441388
rcp85,1764,284.561,-0.0465046
rcp85,1765,284.462,-0.0487623
rcp85,1766,284.368,-0.0505622
rcp85,1767,284.281,-0.0523293
rcp85,1768,284.202,-0.0538583
rcp85,1769,284.13,-0.0551766
rcp85,1770,284.064,-0.0562995
rcp85,1771,284.005,-0.0572408
rcp85,1772,283.952,-0.058009
rcp85,1773,283.905,-0.0586172
rcp85,1774,283.863,-0.0590892
rcp85,1775,283.826,-0.0594373
rcp85,1776,283.794,-0.0596717
rcp85,1777,283.766,-0.0598018
rcp85,1778,283.741,-0.0598368
rcp85,1779,283.72,-0.059785
rcp85,1780,283.702,-0.0596537
rcp85,1781,283.688,-0.0594494
rcp85,1782,283.676,-0.0591738
rcp85,1783,283.667,-0.0588331
rcp85,1784,283.662,-0.0584296
rcp85,1785,283.658,-0.0579658
rcp85,1786,283.658,-0.0574445
rcp85,1787,283.66,-0.0568684
rcp85,1788,283.665,-0.0562404
rcp85,1789,283.672,-0.0555629
rcp85,1790,283.681,-0.0548384
rcp85,1791,283.693,-0.0540688
rcp85,1792,283.706,-0.0532517
rcp85,1793,283.722,-0.0523895
rcp85,1794,283.74,-0.0514882
rcp85,1795,283.76,-0.050549
rcp85,1796,283.781,-0.0495732
rcp85,1797,283.804,-0.0485621
rcp85,1798,283.83,-0.0475126
rcp85,1799,283.856,-0.0464263
rcp85,1800,283.885,-0.0453084
rcp85,1801,283.915,-0.0441556
rcp85,1802,283.946,-0.0429692
rcp85,1803,283.98,-0.0417459
rcp85,1804,284.014,-0.0404915
rcp85,1805,284.05,-0.0392151
rcp85,1806,284.087,-0.0379125
rcp85,1807,284.125,-0.0365801
rcp85,1808,284.164,-0.0352191
rcp85,1809,284.204,-0.0338345
rcp85,1810,284.245,-0.0324263
rcp85,1811,284.287,-0.0309949
rcp85,1812,284.33,-0.0295363
rcp85,1813,284.374,-0.0280513
rcp85,1814,284.419,-0.0265446
rcp85,1815,284.465,-0.0250159
rcp85,1816,284.511,-0.0234611
rcp85,1817,284.558,-0.0218763
rcp85,1818,284.607,-0.0202623
rcp85,1819,284.656,-0.0186234
rcp85,1820,284.705,-0.0169639
rcp85,1821,284.755,-0.0152831
rcp85,1822,284.806,-0.013581
rcp85,1823,284.857,-0.0118531
rcp85,1824,284.909,-0.0100951
rcp85,1825,284.962,-0.00831154
rcp85,1826,285.015,-0.00650198
rcp85,1827,285.069,-0.00466619
rcp85,1828,285.123,-0.00280378
rcp85,1829,285.178,-0.00091454
rcp85,1830,285.233,0.000997777
rcp85,1831,285.289,0.00295981
rcp85,1832,285.347,0.00496511
rcp85,1833,285.405,0.00698853
rcp85,1834,285.463,0.00904073
rcp85,1835,285.521,0.0111222
rcp85,1836,285.58,0.0132337
rcp85,1837,285.639,0.0153927
rcp85,1838,285.7,0.0175941
rcp85,1839,285.761,0.0198261
rcp85,1840,285.823,0.0220943
rcp85,1841,285.885,0.0244037
rcp85,1842,285.947,0.0267547
rcp85,1843,286.011,0.029148
rcp85,1844,286.075,0.0315843
rcp85,1845,286.139,0.0340649
rcp85,1846,286.205,0.0366031
rcp85,1847,286.271,0.0391903
rcp85,1848,286.338,0.0418236
rcp85,1849,286.406,0.0445085
rcp85,1850,286.474,0.047259
rcp85,1851,286.544,0.0499214
rcp85,1852,286.611,0.0523796
rcp85,1853,286.687,0.0548266
rcp85,1854,286.771,0.0572871
rcp85,1855,286.854,0.0595702
rcp85,1856,286.934,0.0616999
rcp85,1857,287.014,0.0637025
