# MAGICC atmospheric CO2,,,,,,,
# RCP 6.0,,,,,,,
Year,value,vtag,units,ctag,type,Scenario,model
1765,2.78E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1766,2.78E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1767,2.78E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1768,2.78E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1769,2.79E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1770,2.79E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1771,2.79E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1772,2.79E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1773,2.79E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1774,2.79E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1775,2.79E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1776,2.80E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1777,2.80E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1778,2.80E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1779,2.80E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1780,2.80E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1781,2.80E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1782,2.80E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1783,2.81E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1784,2.81E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1785,2.81E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1786,2.81E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1787,2.81E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1788,2.81E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1789,2.82E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1790,2.82E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1791,2.82E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1792,2.82E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1793,2.82E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1794,2.82E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1795,2.82E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1796,2.82E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1797,2.83E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1798,2.83E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1799,2.83E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1800,2.83E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1801,2.83E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1802,2.83E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1803,2.83E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1804,2.83E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1805,2.83E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1806,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1807,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1808,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1809,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1810,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1811,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1812,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1813,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1814,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1815,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1816,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1817,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1818,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1819,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1820,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1821,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1822,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1823,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1824,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1825,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1826,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1827,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1828,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1829,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1830,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1831,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1832,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1833,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1834,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
1835,2.84E+02,atmos_co2,ppmv,carbon_cycle,Simulated,rcp60,MAGICC6
