# MAGICC6 RCP 6,,,,,,,
# Total Including Volcanic forcing W/m2,,,,,,,
year,value,vtag,units,ctag,type,Scenario,model
1765,0.00E+00,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1766,1.96E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1767,6.16E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1768,3.13E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1769,-1.21E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1770,3.28E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1771,7.06E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1772,6.43E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1773,5.23E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1774,3.90E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1775,3.38E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1776,5.50E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1777,9.16E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1778,1.19E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1779,1.11E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1780,1.07E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1781,9.51E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1782,2.20E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1783,-1.36E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1784,-1.49E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1785,8.68E-03,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1786,1.06E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1787,1.36E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1788,1.23E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1789,-8.59E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1790,-2.01E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1791,-4.76E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1792,4.83E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1793,7.60E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1794,4.26E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1795,6.17E-03,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1796,1.90E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1797,4.02E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1798,4.99E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1799,5.65E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1800,8.55E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1801,1.01E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1802,7.98E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1803,7.19E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1804,7.57E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1805,7.05E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1806,5.77E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1807,5.21E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1808,-9.30E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1809,-2.23E+00,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1810,-1.73E+00,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1811,-6.43E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1812,-3.80E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1813,-2.41E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1814,-1.42E+00,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1815,-3.17E+00,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1816,-2.42E+00,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1817,-8.29E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1818,-1.67E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1819,7.32E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1820,8.56E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1821,8.74E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1822,9.07E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1823,9.55E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1824,1.07E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1825,1.23E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1826,1.44E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1827,1.62E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1828,1.64E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1829,1.10E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1830,-2.72E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1831,-6.79E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1832,-4.88E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1833,-1.01E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1834,-7.94E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1835,-1.31E+00,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1836,-6.26E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1837,-8.84E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1838,1.22E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1839,1.40E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1840,8.19E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1841,9.19E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1842,8.31E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1843,3.89E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1844,7.34E-02,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1845,1.39E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1846,1.79E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1847,2.16E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1848,2.37E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1849,1.88E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
1850,1.58E-01,Ftot,W/m2,forcing,Simulated,rcp60,MAGICC6
