year,run_name,spinup,pool_name,pool_value,pool_units,atmos_c,earth_c,not_tracked
1,rcp85,1,atmos_c,588.071,Pg C,0.998963,0,0.00103729
1,rcp85,1,earth_c,0,Pg C,0,1,0
2,rcp85,1,atmos_c,588.071,Pg C,0.998833,0,0.00116699
2,rcp85,1,earth_c,0,Pg C,0,1,0
3,rcp85,1,atmos_c,588.071,Pg C,0.998802,0,0.00119775
3,rcp85,1,earth_c,0,Pg C,0,1,0
4,rcp85,1,atmos_c,588.071,Pg C,0.998724,0,0.0012757
4,rcp85,1,earth_c,0,Pg C,0,1,0
5,rcp85,1,atmos_c,588.071,Pg C,0.998617,0,0.00138252
5,rcp85,1,earth_c,0,Pg C,0,1,0
6,rcp85,1,atmos_c,588.071,Pg C,0.998486,0,0.00151422
6,rcp85,1,earth_c,0,Pg C,0,1,0
7,rcp85,1,atmos_c,588.071,Pg C,0.998331,0,0.00166898
7,rcp85,1,earth_c,0,Pg C,0,1,0
8,rcp85,1,atmos_c,588.071,Pg C,0.998155,0,0.00184539
8,rcp85,1,earth_c,0,Pg C,0,1,0
9,rcp85,1,atmos_c,588.071,Pg C,0.997958,0,0.00204212
9,rcp85,1,earth_c,0,Pg C,0,1,0
10,rcp85,1,atmos_c,588.071,Pg C,0.997742,0,0.00225792
10,rcp85,1,earth_c,0,Pg C,0,1,0
11,rcp85,1,atmos_c,588.071,Pg C,0.997508,0,0.00249159
11,rcp85,1,earth_c,0,Pg C,0,1,0
12,rcp85,1,atmos_c,588.071,Pg C,0.997258,0,0.00274197
12,rcp85,1,earth_c,0,Pg C,0,1,0
13,rcp85,1,atmos_c,588.071,Pg C,0.996992,0,0.00300796
13,rcp85,1,earth_c,0,Pg C,0,1,0
14,rcp85,1,atmos_c,588.071,Pg C,0.996711,0,0.00328853
14,rcp85,1,earth_c,0,Pg C,0,1,0
15,rcp85,1,atmos_c,588.071,Pg C,0.996417,0,0.00358266
15,rcp85,1,earth_c,0,Pg C,0,1,0
16,rcp85,1,atmos_c,588.071,Pg C,0.996111,0,0.0038894
16,rcp85,1,earth_c,0,Pg C,0,1,0
17,rcp85,1,atmos_c,588.071,Pg C,0.995792,0,0.00420783
17,rcp85,1,earth_c,0,Pg C,0,1,0
18,rcp85,1,atmos_c,588.071,Pg C,0.995463,0,0.00453708
18,rcp85,1,earth_c,0,Pg C,0,1,0
19,rcp85,1,atmos_c,588.071,Pg C,0.995124,0,0.00487631
19,rcp85,1,earth_c,0,Pg C,0,1,0
20,rcp85,1,atmos_c,588.071,Pg C,0.994775,0,0.00522472
20,rcp85,1,earth_c,0,Pg C,0,1,0
21,rcp85,1,atmos_c,588.071,Pg C,0.994418,0,0.00558157
