year,pool_name,pool_value,pool_units,source_name,source_fraction
1746,Diff,-0.6125,U_PGC,veg_diff,0
1746,Diff,15.7918,U_PGC,soil_diff,0
1746,Diff,-22.7293,U_PGC,det_diff,0
1746,Diff,7.54901,U_PGC,atmos_diff,0
1746,Diff,0,U_PGC,earth_diff,0

1747,Diff,-0.612501,U_PGC,veg_diff,0
1747,Diff,15.7918,U_PGC,soil_diff,0
1747,Diff,-22.7293,U_PGC,det_diff,0
1747,Diff,7.55001,U_PGC,atmos_diff,0
1747,Diff,0,U_PGC,earth_diff,0

1748,Diff,-0.612502,U_PGC,veg_diff,0
1748,Diff,15.7919,U_PGC,soil_diff,0
1748,Diff,-22.7294,U_PGC,det_diff,0
1748,Diff,7.55003,U_PGC,atmos_diff,0
1748,Diff,0,U_PGC,earth_diff,0

1749,Diff,-0.612503,U_PGC,veg_diff,0
1749,Diff,15.7919,U_PGC,soil_diff,0
1749,Diff,-22.7294,U_PGC,det_diff,0
1749,Diff,7.55004,U_PGC,atmos_diff,0
1749,Diff,0,U_PGC,earth_diff,0

1750,Diff,-0.612504,U_PGC,veg_diff,0
1750,Diff,15.7919,U_PGC,soil_diff,0
1750,Diff,-22.7294,U_PGC,det_diff,0
1750,Diff,7.55005,U_PGC,atmos_diff,0
1750,Diff,0,U_PGC,earth_diff,0

1751,Diff,-0.612505,U_PGC,veg_diff,0
1751,Diff,15.7919,U_PGC,soil_diff,0
1751,Diff,-22.7295,U_PGC,det_diff,0
1751,Diff,7.55007,U_PGC,atmos_diff,0
1751,Diff,0,U_PGC,earth_diff,0

1752,Diff,-0.612506,U_PGC,veg_diff,0
1752,Diff,15.792,U_PGC,soil_diff,0
1752,Diff,-22.7295,U_PGC,det_diff,0
1752,Diff,7.55006,U_PGC,atmos_diff,0
1752,Diff,0,U_PGC,earth_diff,0

1753,Diff,-0.612507,U_PGC,veg_diff,0
1753,Diff,15.792,U_PGC,soil_diff,0
1753,Diff,-22.7296,U_PGC,det_diff,0
1753,Diff,7.55002,U_PGC,atmos_diff,0
1753,Diff,0,U_PGC,earth_diff,0

1754,Diff,-0.612508,U_PGC,veg_diff,0
1754,Diff,15.7921,U_PGC,soil_diff,0
1754,Diff,-22.7296,U_PGC,det_diff,0
1754,Diff,7.54998,U_PGC,atmos_diff,0
1754,Diff,0,U_PGC,earth_diff,0

1755,Diff,-0.612509,U_PGC,veg_diff,0
1755,Diff,15.7922,U_PGC,soil_diff,0
1755,Diff,-22.7297,U_PGC,det_diff,0
1755,Diff,7.54993,U_PGC,atmos_diff,0
1755,Diff,0,U_PGC,earth_diff,0

1756,Diff,-0.61251,U_PGC,veg_diff,0
1756,Diff,15.7924,U_PGC,soil_diff,0
1756,Diff,-22.7297,U_PGC,det_diff,0
1756,Diff,7.54987,U_PGC,atmos_diff,0
1756,Diff,0,U_PGC,earth_diff,0

1757,Diff,-0.61251,U_PGC,veg_diff,0
1757,Diff,15.7925,U_PGC,soil_diff,0
1757,Diff,-22.7298,U_PGC,det_diff,0
1757,Diff,7.5498,U_PGC,atmos_diff,0
1757,Diff,0,U_PGC,earth_diff,0

1758,Diff,-0.612511,U_PGC,veg_diff,0
1758,Diff,15.7926,U_PGC,soil_diff,0
1758,Diff,-22.7298,U_PGC,det_diff,0
1758,Diff,7.54973,U_PGC,atmos_diff,0
1758,Diff,0,U_PGC,earth_diff,0

1759,Diff,-0.612511,U_PGC,veg_diff,0
1759,Diff,15.7927,U_PGC,soil_diff,0
1759,Diff,-22.7298,U_PGC,det_diff,0
1759,Diff,7.54966,U_PGC,atmos_diff,0
1759,Diff,0,U_PGC,earth_diff,0

1760,Diff,-0.612512,U_PGC,veg_diff,0
1760,Diff,15.7928,U_PGC,soil_diff,0
1760,Diff,-22.7299,U_PGC,det_diff,0
1760,Diff,7.54958,U_PGC,atmos_diff,0
1760,Diff,0,U_PGC,earth_diff,0

1761,Diff,-0.612512,U_PGC,veg_diff,0
1761,Diff,15.7929,U_PGC,soil_diff,0
1761,Diff,-22.7299,U_PGC,det_diff,0
1761,Diff,7.5495,U_PGC,atmos_diff,0
1761,Diff,0,U_PGC,earth_diff,0

1762,Diff,-0.612512,U_PGC,veg_diff,0
1762,Diff,15.7931,U_PGC,soil_diff,0
1762,Diff,-22.73,U_PGC,det_diff,0
1762,Diff,7.54942,U_PGC,atmos_diff,0
1762,Diff,0,U_PGC,earth_diff,0

1763,Diff,-0.612512,U_PGC,veg_diff,0
1763,Diff,15.7932,U_PGC,soil_diff,0
1763,Diff,-22.73,U_PGC,det_diff,0
1763,Diff,7.54933,U_PGC,atmos_diff,0
1763,Diff,0,U_PGC,earth_diff,0

1764,Diff,-0.612513,U_PGC,veg_diff,0
1764,Diff,15.7933,U_PGC,soil_diff,0
1764,Diff,-22.7301,U_PGC,det_diff,0
1764,Diff,7.54925,U_PGC,atmos_diff,0
1764,Diff,0,U_PGC,earth_diff,0

1765,Diff,-0.612513,U_PGC,veg_diff,0
1765,Diff,15.7935,U_PGC,soil_diff,0
1765,Diff,-22.7301,U_PGC,det_diff,0
1765,Diff,7.54916,U_PGC,atmos_diff,0
1765,Diff,0,U_PGC,earth_diff,0

1766,Diff,-0.612761,U_PGC,veg_diff,0
1766,Diff,15.7913,U_PGC,soil_diff,0
1766,Diff,-22.7301,U_PGC,det_diff,0
1766,Diff,7.55163,U_PGC,atmos_diff,0
1766,Diff,0,U_PGC,earth_diff,0

1767,Diff,-0.612743,U_PGC,veg_diff,0
1767,Diff,15.7825,U_PGC,soil_diff,0
1767,Diff,-22.7265,U_PGC,det_diff,0
1767,Diff,7.55669,U_PGC,atmos_diff,0
1767,Diff,0,U_PGC,earth_diff,0

1768,Diff,-0.612737,U_PGC,veg_diff,0
1768,Diff,15.7679,U_PGC,soil_diff,0
1768,Diff,-22.7215,U_PGC,det_diff,0
1768,Diff,7.5663,U_PGC,atmos_diff,0
1768,Diff,0,U_PGC,earth_diff,0

1769,Diff,-0.612746,U_PGC,veg_diff,0
1769,Diff,15.7613,U_PGC,soil_diff,0
1769,Diff,-22.721,U_PGC,det_diff,0
