year,run_name,spinup,pool_name,pool_value,pool_units,atmos_c,earth_c,not_tracked
1,rcp26,1,atmos_c,588.071,Pg C,0.998963,0,0.00103729
1,rcp26,1,earth_c,0,Pg C,0,1,0
2,rcp26,1,atmos_c,588.071,Pg C,0.998833,0,0.00116699
2,rcp26,1,earth_c,0,Pg C,0,1,0
3,rcp26,1,atmos_c,588.071,Pg C,0.998802,0,0.00119775
3,rcp26,1,earth_c,0,Pg C,0,1,0
4,rcp26,1,atmos_c,588.071,Pg C,0.998724,0,0.0012757
4,rcp26,1,earth_c,0,Pg C,0,1,0
5,rcp26,1,atmos_c,588.071,Pg C,0.998617,0,0.00138252
5,rcp26,1,earth_c,0,Pg C,0,1,0
6,rcp26,1,atmos_c,588.071,Pg C,0.998486,0,0.00151422
6,rcp26,1,earth_c,0,Pg C,0,1,0
7,rcp26,1,atmos_c,588.071,Pg C,0.998331,0,0.00166898
7,rcp26,1,earth_c,0,Pg C,0,1,0
8,rcp26,1,atmos_c,588.071,Pg C,0.998155,0,0.00184539
8,rcp26,1,earth_c,0,Pg C,0,1,0
9,rcp26,1,atmos_c,588.071,Pg C,0.997958,0,0.00204212
9,rcp26,1,earth_c,0,Pg C,0,1,0
10,rcp26,1,atmos_c,588.071,Pg C,0.997742,0,0.00225792
10,rcp26,1,earth_c,0,Pg C,0,1,0
11,rcp26,1,atmos_c,588.071,Pg C,0.997508,0,0.00249159
11,rcp26,1,earth_c,0,Pg C,0,1,0
12,rcp26,1,atmos_c,588.071,Pg C,0.997258,0,0.00274197
12,rcp26,1,earth_c,0,Pg C,0,1,0
13,rcp26,1,atmos_c,588.071,Pg C,0.996992,0,0.00300796
13,rcp26,1,earth_c,0,Pg C,0,1,0
14,rcp26,1,atmos_c,588.071,Pg C,0.996711,0,0.00328853
14,rcp26,1,earth_c,0,Pg C,0,1,0
15,rcp26,1,atmos_c,588.071,Pg C,0.996417,0,0.00358266
15,rcp26,1,earth_c,0,Pg C,0,1,0
16,rcp26,1,atmos_c,588.071,Pg C,0.996111,0,0.0038894
16,rcp26,1,earth_c,0,Pg C,0,1,0
17,rcp26,1,atmos_c,588.071,Pg C,0.995792,0,0.00420783
17,rcp26,1,earth_c,0,Pg C,0,1,0
18,rcp26,1,atmos_c,588.071,Pg C,0.995463,0,0.00453708
18,rcp26,1,earth_c,0,Pg C,0,1,0
19,rcp26,1,atmos_c,588.071,Pg C,0.995124,0,0.00487631
19,rcp26,1,earth_c,0,Pg C,0,1,0
20,rcp26,1,atmos_c,588.071,Pg C,0.994775,0,0.00522472
20,rcp26,1,earth_c,0,Pg C,0,1,0
21,rcp26,1,atmos_c,588.071,Pg C,0.994418,0,0.00558157
21,rcp26,1,earth_c,0,Pg C,0,1,0
22,rcp26,1,atmos_c,588.071,Pg C,0.994054,0,0.00594612
22,rcp26,1,earth_c,0,Pg C,0,1,0
23,rcp26,1,atmos_c,588.071,Pg C,0.993682,0,0.00631769
23,rcp26,1,earth_c,0,Pg C,0,1,0
24,rcp26,1,atmos_c,588.071,Pg C,0.993304,0,0.00669562
24,rcp26,1,earth_c,0,Pg C,0,1,0
25,rcp26,1,atmos_c,588.071,Pg C,0.992921,0,0.00707928
25,rcp26,1,earth_c,0,Pg C,0,1,0
26,rcp26,1,atmos_c,588.071,Pg C,0.992532,0,0.00746809
26,rcp26,1,earth_c,0,Pg C,0,1,0
27,rcp26,1,atmos_c,588.071,Pg C,0.992139,0,0.00786148
27,rcp26,1,earth_c,0,Pg C,0,1,0
28,rcp26,1,atmos_c,588.071,Pg C,0.991741,0,0.0082589
28,rcp26,1,earth_c,0,Pg C,0,1,0
29,rcp26,1,atmos_c,588.071,Pg C,0.99134,0,0.00865985
29,rcp26,1,earth_c,0,Pg C,0,1,0
30,rcp26,1,atmos_c,588.071,Pg C,0.990936,0,0.00906385
30,rcp26,1,earth_c,0,Pg C,0,1,0
31,rcp26,1,atmos_c,588.071,Pg C,0.99053,0,0.00947043
31,rcp26,1,earth_c,0,Pg C,0,1,0
32,rcp26,1,atmos_c,588.071,Pg C,0.990121,0,0.00987916
32,rcp26,1,earth_c,0,Pg C,0,1,0
33,rcp26,1,atmos_c,588.071,Pg C,0.98971,0,0.0102896
33,rcp26,1,earth_c,0,Pg C,0,1,0
34,rcp26,1,atmos_c,588.071,Pg C,0.989299,0,0.0107014
34,rcp26,1,earth_c,0,Pg C,0,1,0
35,rcp26,1,atmos_c,588.071,Pg C,0.988886,0,0.0111142
35,rcp26,1,earth_c,0,Pg C,0,1,0
36,rcp26,1,atmos_c,588.071,Pg C,0.988472,0,0.0115276
36,rcp26,1,earth_c,0,Pg C,0,1,0
37,rcp26,1,atmos_c,588.071,Pg C,0.988059,0,0.0119412
37,rcp26,1,earth_c,0,Pg C,0,1,0
