; NBP hector output under SSP245
Date,NBP_constrain
1746,-0.0802
1747,-0.07625
1748,-0.07328
1749,-0.07062
1750,-0.06816
1751,-0.06587
1752,-0.06662
1753,-0.06722
1754,-0.06677
1755,-0.06557
1756,-0.0624
1757,-0.02386
1758,-0.04226
1759,-0.05648
1760,-0.06255
1761,-0.06494
1762,-0.0676
1763,0.08578
1764,0.04772
1765,-0.02135
1766,-0.04991
1767,-0.008111
1768,-0.0005431
1769,-0.04413
1770,-0.06765
1771,-0.05659
1772,-0.07008
1773,-0.08479
1774,-0.09191
1775,-0.09405
1776,-0.09803
1777,-0.1006
1778,-0.1016
1779,-0.1023
1780,-0.1042
1781,-0.1038
1782,-0.1057
1783,-0.1067
1784,0.1977
1785,0.5301
1786,0.2172
1787,0.06455
1788,-0.0325
1789,-0.09115
1790,-0.1261
1791,-0.147
1792,-0.1623
1793,-0.1733
1794,-0.1811
1795,-0.1855
1796,-0.1914
1797,-0.1769
1798,-0.162
1799,-0.176
1800,-0.1928
1801,-0.2025
1802,-0.2096
1803,-0.214
1804,-0.2183
1805,-0.2223
1806,-0.2268
1807,-0.225
1808,-0.2232
1809,-0.2204
1810,0.3777
1811,0.2268
1812,0.008446
1813,-0.1333
1814,-0.2125
1815,-0.2576
1816,0.2156
1817,0.4338
1818,0.08664
1819,-0.1496
1820,-0.2814
1821,-0.3541
1822,-0.3841
1823,-0.4097
1824,-0.3824
1825,-0.425
1826,-0.4628
1827,-0.4897
1828,-0.508
1829,-0.5207
1830,-0.5333
1831,-0.5439
1832,-0.2059
1833,-0.2515
1834,-0.4106
1835,-0.5077
1836,-0.309
1837,-0.3678
1838,-0.4994
1839,-0.5809
1840,-0.6291
1841,-0.6588
1842,-0.6799
1843,-0.6968
1844,-0.7121
1845,-0.7257
1846,-0.7366
1847,-0.7223
1848,-0.7356
1849,-0.7565
1850,-0.7746
1851,-0.789
1852,-0.7866
1853,-0.8488
1854,-0.8035
1855,-0.7746
1856,-0.7738
1857,-0.7696
1858,-0.7376
1859,-0.7448
1860,-0.7525
1861,-0.7512
1862,-0.7445
1863,-0.5642
1864,-0.5901
1865,-0.6285
1866,-0.6441
1867,-0.6486
1868,-0.6444
1869,-0.6374
1870,-0.6313
1871,-0.6237
1872,-0.639
1873,-0.7259
1874,-0.6772
1875,-0.6817
1876,-0.676
1877,-0.6676
1878,-0.6646
1879,-0.6587
1880,-0.6503
1881,-0.6349
1882,-0.6562
1883,-0.5981
1884,-0.5063
1885,-0.2396
1886,-0.3965
1887,-0.4905
1888,-0.5188
1889,-0.5511
1890,-0.5689
1891,-0.5541
1892,-0.5262
1893,-0.5635
1894,-0.5837
1895,-0.6031
1896,-0.6097
1897,-0.612
1898,-0.612
1899,-0.6117
1900,-0.6061
1901,-0.6027
1902,-0.6636
1903,-0.6455
1904,-0.5464
1905,-0.6059
1906,-0.6892
1907,-0.7137
1908,-0.678
1909,-0.6752
1910,-0.671
1911,-0.6533
1912,-0.5752
1913,-0.4449
1914,-0.3771
1915,-0.4019
1916,-0.4052
1917,-0.3994
1918,-0.3886
1919,-0.3795
1920,-0.3816
1921,-0.3726
1922,-0.418
1923,-0.3835
1924,-0.376
