; pi control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; prepared by K. Dorheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; pre industrial control with constant non CO2 emissions and CO2 concentrations over the entire run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; date 5/22/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; UNITS:,ppmv CO2,  PgC year-1,  PgC year-1,  PgC year-1,  PgC year-1,  Tg year-1,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppb,  Tg CH4 year-1,  Tg CO year-1,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppb,  Tg N year-1,  Tg year-1,  Tg NMVOC year-1,  Tg N year-1,  Tg year-1,  W m-2,  ppt,  ppt,  Gg S year-1,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,Tg,W/m2,Tg N,W/m2
Date,CO2_constrain,ffi_emissions,luc_emissions,daccs_uptake,luc_uptake,BC_emissions,C2F6_constrain,C2F6_emissions,CCl4_constrain,CCl4_emissions,CF4_constrain,CF4_emissions,CFC113_constrain,CFC113_emissions,CFC114_constrain,CFC114_emissions,CFC115_constrain,CFC115_emissions,CFC11_constrain,CFC11_emissions,CFC12_constrain,CFC12_emissions,CH3Br_constrain,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_constrain,CH3Cl_emissions,CH4_constrain,CH4_emissions,CO_emissions,HCFC141b_constrain,HCFC141b_emissions,HCFC142b_constrain,HCFC142b_emissions,HCFC22_constrain,HCFC22_emissions,HFC125_constrain,HFC125_emissions,HFC134a_constrain,HFC134a_emissions,HFC143a_constrain,HFC143a_emissions,HFC227ea_constrain,HFC227ea_emissions,HFC23_constrain,HFC23_emissions,HFC245_constrain,HFC245fa_emissions,HFC32_constrain,HFC32_emissions,HFC4310_constrain,HFC4310_emissions,N2O_constrain,N2O_emissions,NH3_emissions,NMVOC_emissions,NOX_emissions,OC_emissions,RF_albedo,SF6_constrain,SF6_emissions,SO2_emissions,halon1211_constrain,halon1211_emissions,halon1301_constrain,halon1301_emissions,halon2402_constrain,halon2402_emissions,CH4N,RF_misc,N2O_natural_emissions,SV
1745,277.15,0,0,0,0,2.097770755,1.29E-06,3.07E-09,2.50E-02,2.08E-02,3.41E+01,1.04E-02,0,0,0,0,0,0,0,0,0,0,5.30E+00,1.09E+02,0,4.57E+02,4.43E+03,728.6180878,0,348.5273588,0,0,0,0,0,0,0,0,0,0,0,0,3.95E-06,0,0,0,0,0,2.18E-04,3.63E-04,0,0,273.7540487,9.958909,6.927690091,60.02182622,3.877282015,15.44766815,0,0,0,1221.927531,4.45E-03,7.94E-03,0,0,0,0,242.3039,0,0,0
2500,277.15,0,0,0,0,2.097770755,1.29E-06,3.07E-09,2.50E-02,2.08E-02,3.41E+01,1.04E-02,0,0,0,0,0,0,0,0,0,0,5.30E+00,1.09E+02,0,4.57E+02,4.43E+03,728.6180878,0,348.5273588,0,0,0,0,0,0,0,0,0,0,0,0,3.95E-06,0,0,0,0,0,2.18E-04,3.63E-04,0,0,273.7540487,9.958909,6.927690091,60.02182622,3.877282015,15.44766815,0,0,0,1221.927531,4.45E-03,7.94E-03,0,0,0,0,242.3039,0,0,0
