; ssp460
; created by hectordata Tue Nov 16 21:26:34 2021 commit fd87739254cdc4bb18c6751d1d8707040a297d5d
; UNITS:,  PgC year-1,  PgC year-1,  PgC year-1,  PgC year-1,  Tg year-1,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppb,  Tg CH4 year-1,  ppm,  Tg CO year-1, W/m2, W/m2, W/m2,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt,  ppb,  Tg N year-1,  Tg year-1,  Tg NMVOC year-1,  Tg N year-1,  Tg year-1,  ppt,  ppt,  Gg S year-1, W/m2,  ppt,  ppt,  ppt,  ppt,  ppt,  ppt
Date,ffi_emissions,luc_emissions,daccs_uptake,luc_uptake,BC_emissions,C2F6_constrain,C2F6_emissions,CCl4_constrain,CCl4_emissions,CF4_constrain,CF4_emissions,CFC113_constrain,CFC113_emissions,CFC114_constrain,CFC114_emissions,CFC115_constrain,CFC115_emissions,CFC11_constrain,CFC11_emissions,CFC12_constrain,CFC12_emissions,CH3Br_constrain,CH3Br_emissions,CH3CCl3_emissions,CH3Cl_constrain,CH3Cl_emissions,CH4_constrain,CH4_emissions,CO2_constrain,CO_emissions,Fmisc,Ftalbedo,Ftot_constrain,HCFC141b_constrain,HCFC141b_emissions,HCFC142b_constrain,HCFC142b_emissions,HCFC22_constrain,HCFC22_emissions,HFC125_constrain,HFC125_emissions,HFC134a_constrain,HFC134a_emissions,HFC143a_constrain,HFC143a_emissions,HFC227ea_constrain,HFC227ea_emissions,HFC23_constrain,HFC23_emissions,HFC245_constrain,HFC245fa_emissions,HFC32_constrain,HFC32_emissions,HFC365_constrain,HFC365_emissions,HFC4310_constrain,HFC4310_emissions,N2O_constrain,N2O_emissions,NH3_emissions,NMVOC_emissions,NOX_emissions,OC_emissions,SF6_constrain,SF6_emissions,SO2_emissions,SV,halon1211_constrain,halon1211_emissions,halon1301_constrain,halon1301_emissions,halon2402_constrain,halon2402_emissions
1750,0.0025940126083577966,0.08117586739898679,0,0,2.097770755422972,0,0,0.02500042893613378,0.024856862,34.04999923706055,0.010071225,0,0,0,0,0,0,0,0,0,0,5.299997806549072,105.08773,0,457.00000254313153,4275.7449,731.4059956868489,19.019783117809567,277.1470031738281,348.5273587773604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.8650512695312,0.05475141826198451,6.92769009144426,60.02182622415481,3.877282015259525,15.4476681469614,0,0,1221.927531322724,0,0.00444657254653672,0.0077232726,0,0,0,0
1751,0.0025941063027029847,0.0826692695573487,0,0,2.0729259257736388,0,0,0.02500042893613378,0.024856862,34.04999923706055,0.010071225,0,0,0,0,0,0,0,0,0,0,5.299997806549072,105.1072,0,457.00000254313153,4276.7685,731.838165283203,18.915108869931455,277.18800099690753,343.9263672486595,0.0788855141322572,-2.290738886122979e-4,0.2862662105098934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.8940556844075,0.05578579647289745,6.860142184947855,59.08812628149409,3.8337729357251344,15.188716744277112,0,0,1206.0681799841475,0.19999036840457465,0.00444657254653672,0.0077232726,0,0,0,0
1752,0.0025952084646724115,0.0841901460141451,0,0,2.0643119329193533,0,0,0.02500042893613378,0.024856862,34.04999923706055,0.010071225,0,0,0,0,0,0,0,0,0,0,5.299997806549072,105.12502,0,457.00000254313153,4277.7049,732.8999735514321,18.88971181188677,277.22900136311847,341.8090339016869,0.048683300153394934,-4.581477772245958e-4,0.2614372315658101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.92705535888666,0.056839716429342754,6.819482036717451,58.63199702688318,3.834371851404401,15.034475741403988,0,0,1200.4278473396196,0.1999945078831076,0.00444657254653672,0.0077232726,0,0,0,0
1753,0.0025953021590175997,0.08573900221733607,0,0,2.071950563515468,0,0,0.02500042893613378,0.024856862,34.04999923706055,0.010071225,0,0,0,0,0,0,0,0,0,0,5.299997806549072,105.10373,0,457.00000254313153,4276.585999999999,733.634038289388,19.121377231171937,277.26300048828125,343.6754562091752,0.012615750684751934,-6.872216658368925e-4,0.22423577922105986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.9730555216471,0.057913547319122724,6.88143852899345,59.02634940020826,3.8177943228183677,15.18254515100842,0,0,1207.227098535096,0.19999589157701825,0.00444657254653672,0.0077232726,0,0,0,0
1754,0.0025964043209870257,0.0873163529136683,0,0,2.09934978275426,0,0,0.02500042893613378,0.024856862,34.04999923706055,0.010071225,0,0,0,0,0,0,0,0,0,0,5.299997806549072,105.07356,0,457.00000254313153,4274.9998,734.2020212809243,19.50906106501577,277.3040033976237,349.81562520064375,-0.02140383115923322,-9.162955544491916e-4,0.18417795126302428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.01604461669916,0.05900766530483287,7.015189223980566,60.269945173845855,3.847331336983454,15.55877304959727,0,0,1232.9531143620388,0.1999963568370048,0.00444657254653672,0.0077232726,0,0,0,0
1755,0.0025975064829564486,0.08892272231974611,0,0,2.099173164966012,0,0,0.02500042893613378,0.024856862,34.04999923706055,0.010071225,0,0,0,0,0,0,0,0,0,0,5.299997806549072,105.09182,0,457.00000254313153,4275.9598,734.7360788981118,19.500454933311698,277.3510030110677,348.144667955229,-0.045883701182158496,-0.0011453694430614884,0.13959493319690722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.05104319254554,0.06012245365563151,6.9439890428442705,59.824933724698546,3.8866528883154134,15.358182527090069,0,0,1223.0826850431558,0.17302788395006144,0.00444657254653672,0.0077232726,0,0,0,0
1756,0.0027750904791676366,0.09055864429624946,0,0,2.0689154070023212,0,0,0.02500042893613378,0.024856862,34.04999923706055,0.010071225,0,0,0,0,0,0,0,0,0,0,5.299997806549072,105.08556000000002,0,457.00000254313153,4275.6306,735.4210001627603,19.46253659981589,277.38899993896484,343.32315167584505,-0.05390256163533871,-0.0013744433316737873,-0.11423647040888818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.07905069986975,0.06125830288149875,6.92271155666652,58.94682931223554,3.780146274357017,15.195776625722106,0,0,1211.479201655296,-0.07767257582571102,0.00444657254653672,0.0077232726,0,0,0,0
1757,0.002776192641137065,0.09222466252535721,0,0,2.1479236761828795,0,0,0.02500042893613378,0.024856862,34.04999923706055,0.010071225,0,0,0,0,0,0,0,0,0,0,5.299997806549072,105.09137,0,457.00000254313153,4275.9361,735.8930308024087,20.023540664144175,277.4419987996419,355.9418922631908,-0.03362072174029785,-0.0016035172202860841,0.04248672372614207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.09605153401685,0.06241561087003213,7.047674128999731,61.263692996283645,3.9984362659957116,15.704819120374072,0,0,1255.6882474413671,0.06635119460703175,0.00444657254653672,0.0077232726,0,0,0,0
1758,0.002777294803106484,0.09392133069143445,0,0,2.120611409560707,0,0,0.02500042893613378,0.024856862,34.04999923706055,0.010071225,0,0,0,0,0,0,0,0,0,0,5.299997806549072,105.09662,0,457.00000254313153,4276.2118,736.2069956461587,19.93400532918585,277.48900095621747,351.839749049401,0.017342346049114468,-0.001832591108898383,0.1861527799169499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.12904612223304,0.06359478302582648,6.995459767973222,60.43461244378834,3.951609319926169,15.514611629339964,0,0,1241.8061904390202,0.15326806622029782,0.00444657254653672,0.0077232726,0,0,0,0
