; Collection of emission and forcing inputs that are consistent over scenarios,,,
Date,CH4N,SV,N2O_natural_emissions
1745,223.2841597,0,10.04850985
1746,218.5439114,0,10.04850985
1747,223.2307996,0,9.982529779
1748,224.0223599,0,9.973572747
1749,225.0712758,0,9.978918184
1750,224.3734775,0,10.05637215
1751,224.7588953,0.185756746,10.04215546
1752,226.7553906,0.185760472,10.06138643
1753,225.7345829,0.185761717,10.12397451
1754,224.7828453,0.185762136,10.11018399
1755,225.0028822,0.16149051,10.07235624
1756,225.6467187,-0.064139904,10.03899946
1757,224.3916898,0.06548149,9.986079408
1758,224.2919722,0.143706674,10.06231962
1759,222.8725953,0.171560264,10.07680682
1760,220.9829767,0.180988301,10.03857843
1761,223.4163226,0.184158544,10.04317314
1762,224.2378794,-0.719878886,10.03820002
1763,225.2469965,-0.439960121,10.15322127
1764,226.2724641,-0.039047325,10.08662639
1765,225.2272172,0.109581666,10.05794929
1766,225.6062203,-0.178487527,10.00023318
1767,225.7896103,-0.230039677,10.06677658
1768,223.8138847,0.029544124,10.00423859
1769,224.3589445,0.132534616,10.00362809
1770,224.4357072,0.036362348,10.03172619
1771,225.075307,0.088893036,9.988077147
1772,226.9769716,0.151100522,9.987207247
1773,225.5589636,0.174022557,9.97675092
1774,223.3698809,0.181814436,9.985341346
1775,224.4688222,0.184436008,9.965230176
1776,225.2492579,0.185316816,9.968922858
1777,224.8492236,0.185612686,9.953409164
1778,222.7324798,0.185712075,9.952140448
1779,223.2457493,0.185745465,9.946066604
1780,223.0286939,0.185756681,9.939909209
1781,223.8716227,0.185760451,9.928846419
1782,223.8550693,0.185761713,9.922530827
1783,223.5099676,-1.607111309,9.906523631
1784,223.8921406,-3.487549643,9.914365411
1785,223.1254997,-1.322721197,9.907793622
1786,223.3093215,-0.487257524,9.91563659
1787,222.3292796,-0.096137761,9.889826978
1788,222.3613142,0.088531065,9.873467873
1789,222.7892771,0.152985893,9.880942923
1790,222.7418745,0.174747138,9.86921535
1791,223.3860799,0.182061991,9.857359177
1792,223.6877333,0.184519353,9.869445068
1793,223.0930552,0.185344816,9.795202215
1794,222.4330084,0.1856221,9.81150596
1795,222.8464797,0.185715243,9.779896593
