# LUC emissions flux from the G-Carbon model (Steve Smith),,,,,
Year,value,vtag,units,type,ctag
1505,0.28,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1506,0.27,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1507,0.27,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1508,0.26,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1509,0.25,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1510,0.24,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1511,0.24,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1512,0.23,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1513,0.22,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1514,0.21,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1515,0.2,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1516,0.2,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1517,0.19,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1518,0.18,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1519,0.17,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1520,0.17,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1521,0.16,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1522,0.16,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1523,0.15,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1524,0.15,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1525,0.14,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1526,0.13,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1527,0.13,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1528,0.12,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1529,0.12,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1530,0.11,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1531,0.11,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1532,0.11,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1533,0.1,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1534,0.1,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1535,0.09,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1536,0.09,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1537,0.09,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1538,0.08,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1539,0.08,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1540,0.08,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1541,0.07,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1542,0.07,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1543,0.07,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1544,0.07,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1545,0.06,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1546,0.06,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1547,0.06,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1548,0.06,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1549,0.05,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1550,0.05,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1551,0.05,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1552,0.05,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1553,0.05,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1554,0.04,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1555,0.04,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1556,0.04,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1557,0.04,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1558,0.04,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1559,0.04,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1560,0.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1561,0.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1562,0.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1563,0.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1564,0.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1565,0.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1566,0.03,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1567,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1568,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1569,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1570,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1571,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1572,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1573,0.02,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1574,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1575,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1576,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1577,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1578,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1579,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1580,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1581,0.01,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1582,0,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1583,0,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1584,0,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1585,0,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1586,0,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1587,0,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1588,0,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1589,0,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1590,0,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1591,0,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1592,0,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1593,0,lucEmissions,Pg C/yr,Simulated,carbon_cycle
1594,0,lucEmissions,Pg C/yr,Simulated,carbon_cycle
